Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202610,4690,COMP 1101,1,Analytical Inquiry I,Lecture,05-JAN-2026 to 16-MAR-2026,10:00AM-11:50AM,"T,R",4,STURM 480,"Gao, Sky T.",31,31,0,31,,,,,
202610,5008,COMP 1101,2,Analytical Inquiry I,Lecture,05-JAN-2026 to 16-MAR-2026,2:00PM-3:50PM,"T,R",4,ECS 200,"Gao, Sky T.",30,7,0,7,,,,,
202610,3023,COMP 1202,1,Intro. to Computer Science II,Lecture/Lab,05-JAN-2026 to 16-MAR-2026,10:00AM-10:50AM,"T,R",2,ECS 300,"Leutenegger, Scott T.",35,23,0,23,,,,,
202610,3024,COMP 1202,2,Intro. to Computer Science II,Lecture/Lab,05-JAN-2026 to 16-MAR-2026,11:00AM-11:50AM,"T,R",2,ECS 300,"Leutenegger, Scott T.",35,17,0,17,,,,,
202610,3025,COMP 1202,4,Intro. to Computer Science II,Lecture/Lab,05-JAN-2026 to 16-MAR-2026,1:00PM-1:50PM,"T,R",2,ECS 301,"Leutenegger, Scott T.",39,39,0,39,,,,,
202610,3026,COMP 1351,1,Introduction to Programming I,Lecture/Lab,05-JAN-2026 to 16-MAR-2026,10:00AM-11:50AM,"T,R",3,ECS 401,"Hannum, Andrew T.",27,26,0,26,,,,,
202610,3031,COMP 1352,1,Introduction to Programming II,Lecture/Lab,05-JAN-2026 to 16-MAR-2026,10:00AM-11:50AM,"M,W",3,ECS 200,"Hannum, Andrew T.",30,28,0,28,,,,,
202610,3032,COMP 1352,3,Introduction to Programming II,Lecture/Lab,05-JAN-2026 to 16-MAR-2026,12:00PM-1:50PM,"M,W",3,ECS 200,"Anjum, Iffat",30,16,0,16,,,,,
202610,3033,COMP 1352,4,Introduction to Programming II,Lecture/Lab,05-JAN-2026 to 16-MAR-2026,12:00PM-1:50PM,"T,R",3,ECS 200,"Hossain, Ismail",20,5,0,5,,,,,
202610,3034,COMP 1352,5,Introduction to Programming II,Lecture/Lab,05-JAN-2026 to 16-MAR-2026,2:00PM-3:50PM,"M,W",3,ECS 400,"Kraft, Aaron R.",20,14,0,14,,,,,
