Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202510,3322,COMP 1202,1,Intro. to Computer Science II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,10:00AM-10:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",35,23,0,23,,,,,
202510,3323,COMP 1202,2,Intro. to Computer Science II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,11:00AM-11:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",40,33,0,33,,,,,
202510,3325,COMP 1202,4,Intro. to Computer Science II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,1:00PM-1:50PM,"T,R",2,ECS 301,"Hannum, Andrew T.",40,34,0,34,,,,,
202510,3358,COMP 1202,5,Intro. to Computer Science II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,2:00PM-2:50PM,"T,R",2,ECS 300,"Hannum, Andrew T.",40,31,0,31,,,,,
202510,3326,COMP 1351,1,Introduction to Programming I,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,10:00AM-11:50AM,"T,R",3,ECS 400,"Gao, Sky T.",33,31,0,31,,,,,
202510,3333,COMP 1352,1,Introduction to Programming II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,10:00AM-11:50AM,"M,W",3,ECS 201,"Liu, Faan Tone",30,31,0,31,,,,,
202510,3335,COMP 1352,3,Introduction to Programming II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,12:00PM-1:50PM,"M,W",3,ECS 200,"Liu, Faan Tone",30,28,0,28,,,,,
202510,3336,COMP 1352,4,Introduction to Programming II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,12:00PM-1:50PM,"T,R",3,ECS 200,"Edgington, Jeffrey M.",30,22,0,22,,,,,
202510,3337,COMP 1352,5,Introduction to Programming II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,2:00PM-3:50PM,"M,W",3,ECS 401,"Kraft, Aaron R.",30,18,0,18,,,,,
202510,4097,COMP 2300,1,Discrete Structures in CS,Lecture,06-JAN-2025 to 17-MAR-2025,2:00PM-3:50PM,"T,R",4,ECS 301,"Stevens, Alexander L.",39,24,0,24,,,,,
202510,5465,COMP 2362,0,Systems II,Online/Distance,06-JAN-2025 to 21-MAR-2025,4:00PM-5:50PM,"T,R",4,,"Stevenson, Daniel E.",50,36,0,36,,,,,
202510,2195,COMP 2370,1,Data Struct. & Algorithms II,Lecture,06-JAN-2025 to 17-MAR-2025,10:00AM-11:50AM,"M,W",4,ECS 301,"Albow, Mohammed M.",39,39,0,39,,,,,
202510,2989,COMP 2370,2,Data Struct. & Algorithms II,Lecture,06-JAN-2025 to 17-MAR-2025,12:00PM-1:50PM,"M,W",4,ECS 301,"Albow, Mohammed M.",40,40,0,40,,,,,
202510,4347,COMP 2370,3,Data Struct. & Algorithms II,Lecture,06-JAN-2025 to 17-MAR-2025,2:00PM-3:50PM,"T,R",4,ECS 201,"Anjum, Iffat",30,10,0,10,,,,,
