Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202410,3898,COMP 1101,2,Analytical Inquiry I,Lecture,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"T,R",4,ECS 200,"Gao, Sky T.",30,28,0,28,,,,,
202410,3899,COMP 1202,1,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,10:00AM-10:50AM,"T,R",2,ECS 410,"Leutenegger, Scott T.",35,33,0,33,,,,,
202410,3900,COMP 1202,2,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,11:00AM-11:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",35,34,0,34,,,,,
202410,3901,COMP 1202,3,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,12:00PM-12:50PM,"T,R",2,ECS 301,"Leutenegger, Scott T.",35,34,0,34,,,,,
202410,3902,COMP 1202,4,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,1:00PM-1:50PM,"T,R",2,ECS 301,"Hannum, Andrew T.",35,31,0,31,,,,,
202410,3967,COMP 1202,5,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,2:00PM-2:50PM,"T,R",2,ECS 301,"Leutenegger, Scott T.",35,35,0,35,,,,,
202410,3903,COMP 1351,1,Introduction to Programming I,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"M,W",3,ECS 201,"Hutt, Stephen J.",28,26,0,26,,,,,
202410,5909,COMP 1351,3,Introduction to Programming I,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,4:00PM-5:50PM,"T,R",3,ECS 201,"GauthierDickey, Christopher J.",1,6,0,6,,,,,
202410,3911,COMP 1352,1,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"M,W",3,ECS 201,"Stevens, Alexander L.",30,28,0,28,,,,,
202410,3912,COMP 1352,2,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"M,W",3,ECS 200,"Liu, Faan Tone",30,29,0,29,,,,,
202410,3913,COMP 1352,3,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"M,W",3,ECS 401,"Liu, Faan Tone",30,30,0,30,,,,,
202410,3914,COMP 1352,4,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,2:00PM-3:50PM,"M,W",3,ECS 401,"Hannum, Andrew T.",30,28,0,28,,,,,
202410,3915,COMP 1352,5,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,2:00PM-3:50PM,"M,W",3,CMK 301,"Edgington, Jeffrey M.",30,30,0,30,,,,,
202410,5646,COMP 2300,1,Discrete Structures in CS,Lecture,08-JAN-2024 to 18-MAR-2024,2:00PM-3:50PM,"T,R",4,STURM 479,"Stevens, Alexander L.",47,48,0,48,,,,,
202410,2260,COMP 2370,01,Data Struct. & Algorithms II,Lecture,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"M,W",4,SAB 119,"Albow, Mohammed M.",39,43,0,43,,,,,
202410,3208,COMP 2370,2,Data Struct. & Algorithms II,Lecture,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"M,W",4,SAB 119,"Albow, Mohammed M.",41,31,0,31,,,,,
202410,5726,COMP 2370,3,Data Struct. & Algorithms II,Lecture,08-JAN-2024 to 22-MAR-2024,12:00PM-1:50PM,"T,R",4,ECS 201,"Albow, Mohammed M.",25,25,0,25,,,,,
202410,5484,COMP 2381,1,Object-Oriented Software Dev.,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"T,R",4,ECS 200,"Anjum, Iffat",25,26,0,26,,,,,
202410,4020,COMP 2821,1,Introductory Game Design,Lecture,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"T,R",4,ECS 358,"Edgington, Jeffrey M.",20,23,0,23,,,,,
202410,5729,COMP 2821,2,Introductory Game Design,Lecture,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"M,W",4,ECS 358,"Edgington, Jeffrey M.",11,16,0,16,,,,,
202410,3907,COMP 3004,1,Foundations in Discrete/Algo,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,5:00PM-6:50PM,"M,W",4,ECS 401,"Stevens, Alexander L.",25,21,0,21,,,,,
