Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202430,1629,COMP 1101,1,Analytical Inquiry I,Lecture,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"T,R",4,ECS 300,"Gao, Sky T.",35,33,0,33,,,,,
202430,4200,COMP 1101,2,Analytical Inquiry I,Lecture,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"T,R",4,ECS 200,"Gao, Sky T.",30,30,0,30,,,,,
202430,3869,COMP 1203,1,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,10:00AM-10:50AM,"T,R",2,ECS 201,"Hannum, Andrew T.",30,30,0,30,,,,,
202430,3870,COMP 1203,2,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,11:00AM-11:50AM,"T,R",2,ECS 201,"Hannum, Andrew T.",30,31,0,31,,,,,
202430,3871,COMP 1203,3,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,12:00PM-12:50PM,"M,W",2,ECS 201,"Das, Sanchari",30,25,0,25,,,,,
202430,3872,COMP 1203,4,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,1:00PM-1:50PM,"M,W",2,ECS 201,"Das, Sanchari",30,15,0,15,,,,,
202430,4081,COMP 1203,5,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,3:00PM-3:50PM,"T,R",2,CMK 207,"Anjum, Iffat",25,24,0,24,,,,,
202430,3873,COMP 1352,1,Introduction to Programming II,Lecture/Lab,01-APR-2024 to 09-JUN-2024,10:00AM-11:50AM,"M,W",3,ECS 300,"Stevens, Alexander L.",35,34,0,34,,,,,
202430,3874,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,10:00AM-11:50AM,"T,R",3,ECS 300,"Liu, Faan Tone",30,29,0,29,,,,,
202430,3875,COMP 1353,2,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,10:00AM-11:50AM,"M,W",3,ECS 401,"Albow, Mohammed M.",30,32,0,32,,,,,
202430,3877,COMP 1353,4,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"M,W",3,ECS 401,"Hannum, Andrew T.",30,25,0,25,,,,,
202430,3878,COMP 1353,5,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"M,W",3,ECS 201,"Stevens, Alexander L.",28,28,0,28,,,,,
202430,3879,COMP 1353,6,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"T,R",3,ECS 201,"Anjum, Iffat",30,20,0,20,,,,,
202430,5532,COMP 2361,1,Systems I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"M,W",4,ECS 301,"Stevenson, Daniel E.",38,41,0,41,,,,,
202430,5533,COMP 2361,2,Systems I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"M,W",4,ECS 301,"Stevenson, Daniel E.",38,38,0,38,,,,,
202430,5534,COMP 2361,3,Systems I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,4:00PM-5:50PM,"M,W",4,ECS 300,"Stevenson, Daniel E.",38,34,0,34,,,,,
202430,5970,COMP 2361,4,Systems I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,6:00PM-7:50PM,"M,W",4,ECS 301,"Stevenson, Daniel E.",30,22,0,22,,,,,
202430,5535,COMP 2370,1,Data Struct. & Algorithms II,Lecture,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"M,W",4,STURM 379,"Albow, Mohammed M.",40,41,0,41,,,,,
202430,5752,COMP 2701,1,Topics in Computer Science,Online/Distance,01-APR-2024 to 13-JUN-2024,,,1,,"Rutherford, Matthew J.",52,44,0,44,,,,,
202430,3161,COMP 3006,101,Python Software Development,Online/Distance,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,R,4,,"Crutchfield-Todd, Dalton J.",25,7,0,7,,,,,
202430,2839,COMP 3007,101,Foundations: DS Math I,Online/Distance,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,T,4,,"Gerics, Brendt",25,5,0,5,,,,,
202430,2841,COMP 3008,101,Foundations: DS Math II,Online/Distance,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,W,4,,"Kossek, Wojciech K.",25,8,0,8,,,,,
202430,2396,COMP 3351,1,Programming Languages,Lecture,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"T,R",4,ECS 300,"Edgington, Jeffrey M.",30,33,0,33,,,,,
202430,3176,COMP 3356,1,Introductory C/C++ Programming,Lecture/Lab,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,"M,W",4,ECS 201,"Kraft, Aaron R.",25,21,0,21,,,,,
202430,1313,COMP 3371,1,Data Structures &  Algorithms,Lecture,01-APR-2024 to 09-JUN-2024,4:00PM-5:50PM,"T,R",4,ECS 200,"Lopez, Mario A.",32,13,0,13,,,,,
202430,5943,COMP 3371,2,Data Structures &  Algorithms,Lecture,01-APR-2024 to 10-JUN-2024,12:00PM-1:50PM,"T,R",4,ECS 400,"Lopez, Mario A.",19,16,0,16,,,,,
202430,2843,COMP 3421,101,Database Organization & Mgmt I,Online/Distance,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,W,4,,"Mashinchi, Navid",25,11,0,11,,,,,
202430,3855,COMP 3703,1,Topics-Artificial Intelligence,Lecture,01-APR-2024 to 09-JUN-2024,10:00AM-11:50AM,"M,W",4,ECS 201,"GauthierDickey, Christopher J.",25,21,3,24,,,,,
202430,2395,COMP 3704,2,Advanced Topics: Systems,Lecture,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,"T,R",4,ECS 410,"Nance, Kara L.",30,19,3,22,,,,,
202430,3882,COMP 3705,1,Topics in Computer Science,Lecture,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"T,R",4,ECS 401,"Liu, Faan Tone",28,23,4,27,,,,,
202430,3883,COMP 3705,2,Topics in Computer Science,Lecture,01-APR-2024 to 09-JUN-2024,4:00PM-5:50PM,"M,W",4,ECS 401,"Rutherford, Matthew J.",20,15,0,15,,,,,
202430,2397,COMP 3722,1,Network Security,Lecture,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,"M,W",4,ECS 400,"Dewri, Rinku",10,0,23,23,,,,,
202430,3183,COMP 3723,1,Ethical Hacking,Lecture/Lab,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,"M,W",4,ECS 410,"Evans, Nathan S.",26,25,27,52,,,,,
202430,3160,COMP 3801,1,Introduction Computer Graphics,Lecture,01-APR-2024 to 09-JUN-2024,4:00PM-5:50PM,"M,W",4,ECS 201,"Kraft, Aaron R.",32,26,0,26,,,,,
202430,2797,COMP 3822,1,Game Programming II,Lecture,01-APR-2024 to 09-JUN-2024,6:00PM-7:50PM,"T,R",4,ECS 358,"Dunagan, Ryan A.",20,10,0,10,,,,,
202430,2179,COMP 3833,1,Game Capstone II,Lecture,01-APR-2024 to 13-JUN-2024,10:00AM-11:50AM,F,4,ECS 358,"Gansciu, Serban B.",10,5,0,5,,,,,
202430,3162,COMP 4334,101,Parallel & Distrib Comp for DS,Online/Distance,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,M,4,,"Daskevich, Ronald J.",25,7,0,7,,,,,
202430,2644,COMP 4384,2,Secure Software Engineering,Lecture,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,"M,W",4,ECS 400,"Anjum, Iffat",24,22,0,22,,,,,
202430,5556,COMP 4401,01,Python for Data Science,Online/Distance,01-APR-2024 to 30-MAY-2024,5:00PM-6:50PM,R,2,,"Connin, Sean L.",25,6,0,6,,,,,
202430,3163,COMP 4432,101,Machine Learning,Online/Distance,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,W,4,,"Sawle, Paul L.",20,20,0,20,,,,,
202430,5557,COMP 4433,1,Data Visualization,Lecture,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,"T,R",4,ECS 400,"Kossek, Wojciech K.",25,24,0,24,,,,,
202430,3164,COMP 4433,101,Data Visualization,Online/Distance,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,R,4,,"Parada San Martin, Daniel A.",25,16,0,16,,,,,
202430,2844,COMP 4441,101,Probability and Statistics 1,Online/Distance,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,M,4,,"Chan, Julian D.",25,7,0,7,,,,,
202430,2399,COMP 4442,1,Probability and Statistics 2,Lecture,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,"T,R",4,ECS 201,"Durso, Catherine S.",29,20,0,20,,,,,
202430,2859,COMP 4442,101,Probability and Statistics 2,Online/Distance,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,W,4,,"Christensen, Wendy N.",25,20,0,20,,,,,
202430,2845,COMP 4447,101,Data Science Tools 1,Online/Distance,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,M,4,,"Kossek, Wojciech K.",25,12,0,12,,,,,
202430,3165,COMP 4448,101,Data Science Tools 2,Online/Distance,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,M,4,,"Sawle, Paul L.",25,13,0,13,,,,,
202430,5558,COMP 4449,1,Data Science Capstone,Lecture,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,"M,W",4,ECS 200,"Dalton, Donald A.",25,14,0,14,,,,,
202430,3287,COMP 4449,101,Data Science Capstone,Online/Distance,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,W,4,,"Connin, Sean L.",25,1,0,1,,,,,
