Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202430,5559,COMP 4531,1,Deep Learning,Lecture,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,"M,W",4,BAUD 102,"Dalton, Donald A.",30,21,0,21,,,,,
202430,5560,COMP 4531,101,Deep Learning,Online/Distance,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,T,4,,"Li, William Y.",25,23,0,23,,,,,
202430,2846,COMP 4581,101,Algorithms for Data Science&AI,Online/Distance,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,T,4,,"Parada San Martin, Daniel A.",25,6,0,6,,,,,
202430,3856,COMP 4703,1,Adv Topics-Artificial Intell,Lecture,01-APR-2024 to 09-JUN-2024,10:00AM-11:50AM,"M,W",4,ECS 201,"GauthierDickey, Christopher J.",5,3,21,24,,,,,
202430,3885,COMP 4703,2,Adv Topics-Artificial Intell,Lecture,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"T,R",4,ECS 201,"Hutt, Stephen J.",8,8,22,30,,,,,
202430,5537,COMP 4704,1,Advanced Topics-Systems,Lecture,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,"T,R",4,ECS 410,"Nance, Kara L.",15,3,19,22,,,,,
202430,3881,COMP 4705,2,Advanced Topics-Programming,Lecture,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"T,R",4,ECS 401,"Liu, Faan Tone",8,4,23,27,,,,,
202430,2240,COMP 4722,1,Network Security,Lecture,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,"M,W",4,ECS 400,"Dewri, Rinku",25,23,0,23,,,,,
202430,3175,COMP 4723,1,Ethical Hacking,Lecture,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,"M,W",4,ECS 410,"Evans, Nathan S.",25,27,25,52,,,,,
202430,2906,COMP 4799,1,Cybersecurity Capstone,Lecture/Lab,01-APR-2024 to 09-JUN-2024,,,4,,"Evans, Nathan S.",2,2,0,2,,,,,
