Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202570,3123,COMP 1101,1,Analytical Inquiry I,Lecture,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"T,R",4,CC 150,"Gao, Sky T.",30,30,0,30,,,,,
202570,5546,COMP 1101,4,Analytical Inquiry I,Lecture,08-SEP-2025 to 16-NOV-2025,4:00PM-5:50PM,"T,R",4,ECS 201,"Gao, Sky T.",30,27,0,27,,,,,
202570,3114,COMP 1201,1,Intro. to Computer Science I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,1:00PM-1:50PM,"T,R",2,ECS 300,"Hannum, Andrew T.",42,40,0,40,,,,,
202570,3115,COMP 1201,2,Intro. to Computer Science I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,11:00AM-11:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",32,28,0,28,,,,,
202570,5595,COMP 1201,3,Intro. to Computer Science I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,1:00PM-1:50PM,"M,W",2,ECS 401,"Hannum, Andrew T.",30,8,0,8,,,,,
202570,3124,COMP 1201,4,Intro. to Computer Science I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,10:00AM-10:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",42,41,0,41,,,,,
202570,3116,COMP 1351,1,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,10:00AM-11:50AM,"M,W",3,ECS 201,"Albow, Mohammed M.",30,22,0,22,,,,,
202570,3117,COMP 1351,2,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,10:00AM-11:50AM,"M,W",3,ECS 200,"Anjum, Iffat",32,14,0,14,,,,,
202570,3119,COMP 1351,4,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"M,W",3,ECS 401,"Hannum, Andrew T.",30,31,0,31,,,,,
202570,5203,COMP 1351,8,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"M,W",3,ECS 410,"Hossain, Ismail",47,43,0,43,,,,,
202570,5616,COMP 1351,9,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"M,W",3,ECS 201,"Taami, Tania",17,11,0,11,,,,,
202570,3395,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"M,W",3,ECS 200,"Hossain, Ismail",32,14,0,14,,,,,
202570,2088,COMP 2300,1,Discrete Structures in CS,Lecture,08-SEP-2025 to 16-NOV-2025,10:00AM-11:50AM,"T,R",4,BW 124,"Stevens, Alexander L.",34,32,0,32,,,,,
202570,3452,COMP 2300,2,Discrete Structures in CS,Lecture,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"T,R",4,CMK 101,"Stevens, Alexander L.",34,31,0,31,,,,,
202570,5126,COMP 2361,2,Systems I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,10:00AM-11:50AM,"M,W",4,ECS 401,"Stevenson, Daniel E.",30,11,0,11,,,,,
202570,3688,COMP 2362,3,Systems II,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,4:00PM-5:50PM,"M,W",4,ECS 300,"Stevenson, Daniel E.",32,32,0,32,,,,,
202570,5204,COMP 2362,4,Systems II,Lecture,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"M,W",4,ECS 301,"Stevenson, Daniel E.",42,42,0,42,,,,,
202570,3331,COMP 2381,1,Object-Oriented Software Dev.,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"M,W",4,ECS 300,"Taami, Tania",40,37,0,37,,,,,
202570,3979,COMP 2381,4,Object-Oriented Software Dev.,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,4:00PM-5:50PM,"T,R",4,ECS 400,"Rutherford, Matthew J.",30,19,0,19,,,,,
202570,3966,COMP 2701,1,Topics in Computer Science,Online/Distance,08-SEP-2025 to 16-NOV-2025,,,1,,"Rutherford, Matthew J.",45,10,0,10,,,,,
202570,4724,COMP 2821,1,Introductory Game Design,Lecture,08-SEP-2025 to 16-NOV-2025,6:00PM-7:50PM,"M,W",4,ECS 257,"Edgington, Jeffrey M.",15,11,0,11,,,,,
202570,2983,COMP 3003,1,Foundations in Comp. Systems,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,"T,R",4,ECS 200,"Evans, Nathan S.",9,0,0,0,,,,,
202570,5562,COMP 3003,2,Foundations in Comp. Systems,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,"M,W",4,CMK 301,"Evans, Nathan S.",25,19,0,19,,,,,
202570,5561,COMP 3005,3,Foundation: Python Programming,Lecture,08-SEP-2025 to 16-NOV-2025,7:00PM-8:50PM,"M,W",4,ECS 200,"Hamed, Ahmed Abdeen",26,25,0,25,,,,,
202570,5702,COMP 3005,4,Foundation: Python Programming,Online/Distance,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,T,4,,"Connin, Sean L.",20,12,0,12,,,,,
202570,3332,COMP 3005,101,Foundation: Python Programming,Online/Distance,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,R,4,,"Connin, Sean L.",20,17,0,17,,,,,
202570,5472,COMP 3009,2,Applied Math for DS and AI,Lecture,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,"M,W",4,ECS 201,"Hamed, Ahmed Abdeen",25,16,0,16,,,,,
202570,4726,COMP 3009,101,Applied Math for DS and AI,Online/Distance,08-SEP-2025 to 16-NOV-2025,7:00PM-8:50PM,T,4,,"Kossek, Wojciech K.",25,21,0,21,,,,,
202570,5555,COMP 3009,103,Applied Math for DS and AI,Online/Distance,08-SEP-2025 to 16-NOV-2025,7:00PM-8:50PM,R,4,,"Kossek, Wojciech K.",20,13,0,13,,,,,
202570,5178,COMP 3100,2,Human-Computer Interaction,Lecture,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"M,W",4,ECS 301,"Oleson, Alannah",16,19,5,24,,,,,
202570,5359,COMP 3361,3,Operating Systems I,Lecture,08-SEP-2025 to 16-NOV-2025,4:00PM-5:50PM,"T,R",4,ECS 301,"Dewri, Rinku",40,34,0,34,,,,,
202570,2733,COMP 3421,101,Database Organization & Mgmt I,Online/Distance,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,R,4,,"Mashinchi, Navid",25,25,0,25,,,,,
202570,5214,COMP 3421,102,Database Organization & Mgmt I,Online/Distance,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,R,4,,"Dalton, Donald A.",26,26,0,26,,,,,
202570,5566,COMP 3490,1,Understanding AI,Lecture,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"M,W",4,ECS 200,"Kossek, Wojciech K.",12,7,1,8,,,,,
202570,3186,COMP 3501,1,Intro Artificial Intelligence,Lecture,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"T,R",4,ECS 200,"Kraft, Aaron R.",28,26,5,31,,,,,
202570,5563,COMP 3621,2,Computer Networking,Lecture,08-SEP-2025 to 16-NOV-2025,7:00PM-8:50PM,"M,W",4,BAUD 103,"Kraft, Aaron R.",15,15,20,35,,,,,
202570,5176,COMP 3703,1,Topics-Artificial Intelligence,Lecture,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"T,R",4,ECS 401,"Lopez, Mario A.",15,12,12,24,,,,,
202570,3956,COMP 3705,1,Topics in Computer Science,Lecture,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"T,R",4,ECS 201,"Edgington, Jeffrey M.",22,18,3,21,,,,,
202570,3161,COMP 3721,1,Computer Security,Lecture,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,"M,W",4,ECS 200,"Anjum, Iffat",15,15,15,30,,,,,
202570,2972,COMP 3831,2,Game Prototyping,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,6:00PM-8:50PM,W,4,MRH 019,"Gansciu, Serban B.",20,16,0,16,,,,,
