Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202530,1619,COMP 1101,1,Analytical Inquiry I,Lecture,31-MAR-2025 to 08-JUN-2025,2:00PM-3:50PM,"T,R",4,ECS 301,"Gao, Sky T.",35,29,0,29,,,,,
202530,3520,COMP 1101,2,Analytical Inquiry I,Lecture,31-MAR-2025 to 08-JUN-2025,12:00PM-1:50PM,"T,R",4,ECS 201,"Gao, Sky T.",30,28,0,28,,,,,
202530,5339,COMP 1101,3,Analytical Inquiry I,Lecture,31-MAR-2025 to 12-JUN-2025,2:00PM-3:50PM,"T,R",4,ECS 400,"Stevens, Alexander L.",25,6,0,6,,,,,
202530,3416,COMP 1203,1,Intro. to Computer Science III,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,1:00PM-1:50PM,"T,R",2,ECS 301,"Hannum, Andrew T.",35,32,0,32,,,,,
202530,3417,COMP 1203,2,Intro. to Computer Science III,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,12:00PM-12:50PM,"T,R",2,ECS 301,"Hannum, Andrew T.",36,36,0,36,,,,,
202530,3420,COMP 1352,1,Introduction to Programming II,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,12:00PM-1:50PM,"T,R",3,ECS 400,"Liu, Faan Tone",30,23,0,23,,,,,
202530,3422,COMP 1353,2,Data Struct. & Algorithms I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"M,W",3,ECS 300,"Albow, Mohammed M.",35,34,0,34,,,,,
202530,3424,COMP 1353,4,Data Struct. & Algorithms I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,12:00PM-1:50PM,"M,W",3,SIE 2110,"Albow, Mohammed M.",35,35,0,35,,,,,
202530,3426,COMP 1353,6,Data Struct. & Algorithms I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"T,R",3,ECS 300,"Anjum, Iffat",32,25,0,25,,,,,
202530,4153,COMP 2361,1,Systems I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,12:00PM-1:50PM,"M,W",4,ECS 300,"Stevenson, Daniel E.",37,36,0,36,,,,,
202530,4154,COMP 2361,2,Systems I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,2:00PM-3:50PM,"M,W",4,CMK 207,"Stevenson, Daniel E.",34,32,0,32,,,,,
202530,4155,COMP 2361,3,Systems I,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,4:00PM-5:50PM,"M,W",4,ECS 301,"Stevenson, Daniel E.",35,24,0,24,,,,,
202530,4778,COMP 2370,0,Data Struct. & Algorithms II,Lecture,31-MAR-2025 to 08-JUN-2025,2:00PM-3:50PM,"M,W",4,ECS 301,"Stevens, Alexander L.",35,12,0,12,,,,,
202530,4288,COMP 2701,1,Topics in Computer Science,Online/Distance,31-MAR-2025 to 08-JUN-2025,,,1,,"Rutherford, Matthew J.",50,26,0,26,,,,,
202530,4955,COMP 2701,2,Topics in Computer Science,Lecture,31-MAR-2025 to 08-JUN-2025,3:00PM-3:50PM,R,1,SIE 2115,"Albow, Mohammed M.",35,15,0,15,,,,,
202530,5035,COMP 2821,0,Introductory Game Design,Lecture,31-MAR-2025 to 08-JUN-2025,2:00PM-3:50PM,"M,W",4,ECS 358,"Edgington, Jeffrey M.",20,15,0,15,,,,,
202530,2989,COMP 3006,101,Python Software Development,Online/Distance,31-MAR-2025 to 12-JUN-2025,7:00PM-8:50PM,R,4,,"Crutchfield-Todd, Dalton J.",20,9,0,9,,,,,
202530,2342,COMP 3351,1,Programming Languages,Lecture,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"M,W",4,BAUD 102,"Edgington, Jeffrey M.",44,50,0,50,,,,,
202530,3003,COMP 3356,1,Introductory C/C++ Programming,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,7:00PM-8:50PM,"M,W",4,ECS 200,"Petrehn, Sydney M.",25,17,0,17,,,,,
202530,1310,COMP 3371,1,Data Structures &  Algorithms,Lecture,31-MAR-2025 to 08-JUN-2025,12:00PM-1:50PM,"M,W",4,ECS 200,"Lopez, Mario A.",31,16,0,16,,,,,
202530,5233,COMP 3410,1,Web Programming I,Lecture,31-MAR-2025 to 08-JUN-2025,2:00PM-3:50PM,"M,W",4,ECS 401,"Hannum, Andrew T.",30,11,0,11,,,,,
202530,4779,COMP 3411,0,Web Programming II,Lecture,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"M,W",4,STURM 275,"Kraft, Aaron R.",35,17,0,17,,,,,
202530,2743,COMP 3421,101,Database Organization & Mgmt I,Online/Distance,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,W,4,,"Mashinchi, Navid",25,25,0,25,,,,,
202530,4156,COMP 3703,3,Topics-Artificial Intelligence,Lecture,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"M,W",4,MRH 006,"GauthierDickey, Christopher J.",27,26,7,33,,,,,
202530,4980,COMP 3704,0,Advanced Topics: Systems,Lecture,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,"T,R",4,ECS 201,"Anjum, Iffat",10,8,19,27,,,,,
202530,4639,COMP 3704,4,Advanced Topics: Systems,Lecture,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"T,R",4,ECS 400,"Rutherford, Matthew J.",30,15,0,15,,,,,
