Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202450,2070,COMP 3006,101,Python Software Development,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,R,4,,"Crutchfield-Todd, Dalton J.",20,7,0,7,,,,,
202450,2071,COMP 3008,101,Foundations: DS Math II,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,T,4,,"Gerics, Brendt",20,4,0,4,,,,,
202450,2072,COMP 3421,101,Database Organization & Mgmt I,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,R,4,,"Mashinchi, Navid",20,7,0,7,,,,,
202450,2090,COMP 3432,1,Machine Learning,Lecture,24-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,"T,R",4,ECS 300,"Conway, Maxwell L.",20,6,0,6,,,,,
202450,2292,COMP 3704,0,Advanced Topics: Systems,Lecture,24-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,"T,R",4,ECS 301,"Hannum, Andrew T.",15,0,23,23,,,,,
202450,2073,COMP 4334,101,Parallel & Distrib Comp for DS,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,M,4,,"Daskevich, Ronald J.",20,5,0,5,,,,,
202450,2069,COMP 4401,1,Python for Data Science,Online/Distance,24-JUN-2024 to 16-AUG-2024,5:00PM-6:50PM,R,2,,"Kossek, Wojciech K.",20,10,0,10,,,,,
202450,2074,COMP 4432,101,Machine Learning,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,W,4,,"Sawle, Paul L.",20,10,0,10,,,,,
202450,2075,COMP 4433,101,Data Visualization,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,R,4,,"Siebrase, Benjamin E.",20,15,0,15,,,,,
202450,2076,COMP 4441,101,Probability and Statistics 1,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,W,4,,"Vered, Michelle N.",20,8,0,8,,,,,
202450,2077,COMP 4442,101,Probability and Statistics 2,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,W,4,,"Chan, Julian D.",20,6,0,6,,,,,
202450,2079,COMP 4447,1,Data Science Tools 1,Lecture,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,"T,R",4,ECS 400,"Dalton, Donald A.",20,12,0,12,,,,,
202450,2078,COMP 4447,101,Data Science Tools 1,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,M,4,,"Rasool, Rahim",20,7,0,7,,,,,
202450,2080,COMP 4448,101,Data Science Tools 2,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,M,4,,"Parada San Martin, Daniel A.",20,3,0,3,,,,,
202450,2081,COMP 4449,101,Data Science Capstone,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,T,4,,"Sawle, Paul L.",20,9,0,9,,,,,
202450,2088,COMP 4455,1,Shell Scripting & Sys Tools,Lecture/Lab,24-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,"T,R",4,ECS 401,"Evans, Nathan S.",20,19,0,19,,,,,
202450,2083,COMP 4531,101,Deep Learning,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,W,4,,"Dalton, Donald A.",20,20,0,20,,,,,
202450,2082,COMP 4581,101,Algorithms for Data Science&AI,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,T,4,,"Kossek, Wojciech K.",20,16,0,16,,,,,
202450,2233,COMP 4704,1,Advanced Topics-Systems,Lecture,24-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,"T,R",4,ECS 301,"Hannum, Andrew T.",25,23,0,23,,,,,
202450,2185,COMP 4799,1,Cybersecurity Capstone,Lecture/Lab,24-JUN-2024 to 23-AUG-2024,,,1,,"Evans, Nathan S.",8,18,0,18,,,,,
