term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202450,ALL,COMP,Computer Science,2070,COMP 3006,101,Python Software Development,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,R,4,,"Crutchfield-Todd, Dalton J.",20,7,,,,,
202450,ALL,COMP,Computer Science,2071,COMP 3008,101,Foundations: DS Math II,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,T,4,,"Gerics, Brendt",20,4,,,,,
202450,ALL,COMP,Computer Science,2072,COMP 3421,101,Database Organization & Mgmt I,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,R,4,,"Mashinchi, Navid",20,7,,,,,
202450,ALL,COMP,Computer Science,2090,COMP 3432,1,Machine Learning,Lecture,24-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,"T,R",4,ECS 300,"Conway, Maxwell L.",20,6,,,,,
202450,ALL,COMP,Computer Science,2292,COMP 3704,0,Advanced Topics: Systems,Lecture,24-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,"T,R",4,ECS 301,"Hannum, Andrew T.",15,0,,,,,
202450,ALL,COMP,Computer Science,2111,COMP 3904,1,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,24-JUN-2024 to 23-AUG-2024,,,0,,"Stevens, Alexander L.",0,1,,,,,
202450,ALL,COMP,Computer Science,2113,COMP 3904,2,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,24-JUN-2024 to 23-AUG-2024,,,0,,"Albow, Mohammed M.",0,3,,,,,
202450,ALL,COMP,Computer Science,2240,COMP 3904,3,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,15-JUN-2024 to 23-AUG-2024,,,0,,"Connin, Sean L.",1,1,,,,,
202450,ALL,COMP,Computer Science,2273,COMP 3904,4,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,15-JUN-2024 to 23-AUG-2024,,,0,,"Kossek, Wojciech K.",1,1,,,,,
202450,ALL,COMP,Computer Science,2280,COMP 3904,5,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,15-JUN-2024 to 23-AUG-2024,,,0,,"Evans, Nathan S.",0,1,,,,,
202450,ALL,COMP,Computer Science,2281,COMP 3904,6,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,15-JUN-2024 to 23-AUG-2024,,,0,,"GauthierDickey, Christopher J.",0,1,,,,,
202450,ALL,COMP,Computer Science,2073,COMP 4334,101,Parallel & Distrib Comp for DS,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,M,4,,"Daskevich, Ronald J.",20,5,,,,,
202450,ALL,COMP,Computer Science,2069,COMP 4401,1,Python for Data Science,Online/Distance,24-JUN-2024 to 16-AUG-2024,5:00PM-6:50PM,R,2,,"Kossek, Wojciech K.",20,10,,,,,
202450,ALL,COMP,Computer Science,2074,COMP 4432,101,Machine Learning,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,W,4,,"Sawle, Paul L.",20,10,,,,,
202450,ALL,COMP,Computer Science,2075,COMP 4433,101,Data Visualization,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,R,4,,"Siebrase, Benjamin E.",20,15,,,,,
202450,ALL,COMP,Computer Science,2076,COMP 4441,101,Probability and Statistics 1,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,W,4,,"Vered, Michelle N.",20,8,,,,,
202450,ALL,COMP,Computer Science,2077,COMP 4442,101,Probability and Statistics 2,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,W,4,,"Chan, Julian D.",20,6,,,,,
202450,ALL,COMP,Computer Science,2079,COMP 4447,1,Data Science Tools 1,Lecture,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,"T,R",4,ECS 400,"Dalton, Donald A.",20,12,,,,,
202450,ALL,COMP,Computer Science,2078,COMP 4447,101,Data Science Tools 1,Online/Distance,15-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,M,4,,"Rasool, Rahim",20,7,,,,,
202450,ALL,COMP,Computer Science,2080,COMP 4448,101,Data Science Tools 2,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,M,4,,"Parada San Martin, Daniel A.",20,3,,,,,
202450,ALL,COMP,Computer Science,2081,COMP 4449,101,Data Science Capstone,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,T,4,,"Sawle, Paul L.",20,9,,,,,
202450,ALL,COMP,Computer Science,2088,COMP 4455,1,Shell Scripting & Sys Tools,Lecture/Lab,24-JUN-2024 to 23-AUG-2024,7:00PM-8:50PM,"T,R",4,ECS 401,"Evans, Nathan S.",20,19,,,,,
202450,ALL,COMP,Computer Science,2083,COMP 4531,101,Deep Learning,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,W,4,,"Dalton, Donald A.",20,20,,,,,
202450,ALL,COMP,Computer Science,2082,COMP 4581,101,Algorithms for Data Science&AI,Online/Distance,15-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,T,4,,"Kossek, Wojciech K.",20,16,,,,,
202450,ALL,COMP,Computer Science,2233,COMP 4704,1,Advanced Topics-Systems,Lecture,24-JUN-2024 to 23-AUG-2024,5:00PM-6:50PM,"T,R",4,ECS 301,"Hannum, Andrew T.",25,23,,,,,
202450,ALL,COMP,Computer Science,2185,COMP 4799,1,Cybersecurity Capstone,Lecture/Lab,24-JUN-2024 to 23-AUG-2024,,,1,,"Evans, Nathan S.",8,18,,,,,
