term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202730,ALL,COMP,Computer Science,1555,COMP 1101,1,Analytical Inquiry I,Lecture,29-MAR-2027 to 10-JUN-2027,2:00PM-3:50PM,"T,R",4,,,0,0,,,,,
202730,ALL,COMP,Computer Science,2942,COMP 1101,2,Analytical Inquiry I,Lecture,29-MAR-2027 to 10-JUN-2027,12:00PM-1:50PM,"T,R",4,,,0,0,,,,,
202730,ALL,COMP,Computer Science,2883,COMP 1203,1,Intro. to Computer Science III,Lecture/Lab,29-MAR-2027 to 10-JUN-2027,10:00AM-10:50AM,"T,R",2,,"Oleson, Alannah",30,0,,,,,
202730,ALL,COMP,Computer Science,2884,COMP 1203,2,Intro. to Computer Science III,Lecture/Lab,29-MAR-2027 to 10-JUN-2027,11:00AM-11:50AM,"T,R",2,,"Oleson, Alannah",30,0,,,,,
202730,ALL,COMP,Computer Science,2885,COMP 1352,1,Introduction to Programming II,Lecture/Lab,29-MAR-2027 to 10-JUN-2027,10:00AM-11:50AM,"M,W",3,,"Stevens, Alexander L.",30,0,,,,,
202730,ALL,COMP,Computer Science,2886,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,29-MAR-2027 to 10-JUN-2027,10:00AM-11:50AM,"M,W",3,,"Liu, Faan Tone",30,0,,,,,
202730,ALL,COMP,Computer Science,2887,COMP 1353,2,Data Struct. & Algorithms I,Lecture/Lab,29-MAR-2027 to 10-JUN-2027,10:00AM-11:50AM,"M,W",3,,"Albow, Mohammed M.",30,0,,,,,
202730,ALL,COMP,Computer Science,2889,COMP 1353,6,Data Struct. & Algorithms I,Lecture/Lab,29-MAR-2027 to 10-JUN-2027,10:00AM-11:50AM,"T,R",3,,"Albow, Mohammed M.",30,0,,,,,
202730,ALL,COMP,Computer Science,3168,COMP 2361,1,Systems I,Lecture/Lab,29-MAR-2027 to 10-JUN-2027,12:00PM-1:50PM,"M,W",4,,"Albow, Mohammed M.",30,0,,,,,
202730,ALL,COMP,Computer Science,3169,COMP 2361,2,Systems I,Lecture/Lab,29-MAR-2027 to 10-JUN-2027,2:00PM-3:50PM,"M,W",4,,"Albow, Mohammed M.",30,0,,,,,
