term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202570,ALL,COMP,Computer Science,3123,COMP 1101,1,Analytical Inquiry I,Lecture,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"T,R",4,CC 150,"Gao, Sky T.",30,30,18-NOV-2025 to 18-NOV-2025,12:00PM-1:50PM,T,CC 150,
202570,ALL,COMP,Computer Science,5546,COMP 1101,4,Analytical Inquiry I,Lecture,08-SEP-2025 to 16-NOV-2025,4:00PM-5:50PM,"T,R",4,ECS 201,"Gao, Sky T.",30,27,18-NOV-2025 to 18-NOV-2025,4:00PM-5:50PM,T,ECS 201,
202570,ALL,COMP,Computer Science,3114,COMP 1201,1,Intro. to Computer Science I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,1:00PM-1:50PM,"T,R",2,ECS 300,"Hannum, Andrew T.",42,40,,,,,
202570,ALL,COMP,Computer Science,3115,COMP 1201,2,Intro. to Computer Science I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,11:00AM-11:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",32,28,,,,,
202570,ALL,COMP,Computer Science,5595,COMP 1201,3,Intro. to Computer Science I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,1:00PM-1:50PM,"M,W",2,ECS 401,"Hannum, Andrew T.",30,8,,,,,
202570,ALL,COMP,Computer Science,3124,COMP 1201,4,Intro. to Computer Science I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,10:00AM-10:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",42,41,,,,,
202570,ALL,COMP,Computer Science,3116,COMP 1351,1,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,10:00AM-11:50AM,"M,W",3,ECS 201,"Albow, Mohammed M.",30,22,17-NOV-2025 to 17-NOV-2025,10:00AM-11:50AM,M,,
202570,ALL,COMP,Computer Science,3117,COMP 1351,2,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,10:00AM-11:50AM,"M,W",3,ECS 200,"Anjum, Iffat",32,14,17-NOV-2025 to 17-NOV-2025,10:00AM-11:50AM,M,,
202570,ALL,COMP,Computer Science,3119,COMP 1351,4,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"M,W",3,ECS 401,"Hannum, Andrew T.",30,31,17-NOV-2025 to 17-NOV-2025,2:00PM-3:50PM,M,,
202570,ALL,COMP,Computer Science,5203,COMP 1351,8,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"M,W",3,ECS 410,"Hossain, Ismail",47,43,17-NOV-2025 to 17-NOV-2025,2:00PM-3:50PM,M,ECS 410,
202570,ALL,COMP,Computer Science,5616,COMP 1351,9,Introduction to Programming I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"M,W",3,ECS 201,"Taami, Tania",17,11,17-NOV-2025 to 17-NOV-2025,2:00PM-3:50PM,M,ECS 201,
202570,ALL,COMP,Computer Science,3395,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"M,W",3,ECS 200,"Hossain, Ismail",32,14,17-NOV-2025 to 17-NOV-2025,12:00PM-1:50PM,M,,
202570,ALL,COMP,Computer Science,2088,COMP 2300,1,Discrete Structures in CS,Lecture,08-SEP-2025 to 16-NOV-2025,10:00AM-11:50AM,"T,R",4,BW 124,"Stevens, Alexander L.",34,32,18-NOV-2025 to 18-NOV-2025,10:00AM-11:50AM,T,BW 124,
202570,ALL,COMP,Computer Science,3452,COMP 2300,2,Discrete Structures in CS,Lecture,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"T,R",4,CMK 101,"Stevens, Alexander L.",34,31,18-NOV-2025 to 18-NOV-2025,12:00PM-1:50PM,T,CMK 101,
202570,ALL,COMP,Computer Science,5126,COMP 2361,2,Systems I,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,10:00AM-11:50AM,"M,W",4,ECS 401,"Stevenson, Daniel E.",30,11,,,,,
202570,ALL,COMP,Computer Science,3688,COMP 2362,3,Systems II,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,4:00PM-5:50PM,"M,W",4,ECS 300,"Stevenson, Daniel E.",32,32,17-NOV-2025 to 17-NOV-2025,4:00PM-5:50PM,M,ECS 300,
202570,ALL,COMP,Computer Science,5204,COMP 2362,4,Systems II,Lecture,08-SEP-2025 to 16-NOV-2025,2:00PM-3:50PM,"M,W",4,ECS 301,"Stevenson, Daniel E.",42,42,17-NOV-2025 to 17-NOV-2025,2:00PM-3:50PM,M,ECS 301,
202570,ALL,COMP,Computer Science,3331,COMP 2381,1,Object-Oriented Software Dev.,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,12:00PM-1:50PM,"M,W",4,ECS 300,"Taami, Tania",40,37,,,,,
202570,ALL,COMP,Computer Science,3979,COMP 2381,4,Object-Oriented Software Dev.,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,4:00PM-5:50PM,"T,R",4,ECS 400,"Rutherford, Matthew J.",30,19,,,,,
202570,ALL,COMP,Computer Science,3966,COMP 2701,1,Topics in Computer Science,Online/Distance,08-SEP-2025 to 16-NOV-2025,,,1,,"Rutherford, Matthew J.",45,10,,,,,
202570,ALL,COMP,Computer Science,4724,COMP 2821,1,Introductory Game Design,Lecture,08-SEP-2025 to 16-NOV-2025,6:00PM-7:50PM,"M,W",4,ECS 257,"Edgington, Jeffrey M.",15,11,17-NOV-2025 to 17-NOV-2025,6:00PM-7:50PM,M,ECS 257,
202570,ALL,COMP,Computer Science,2983,COMP 3003,1,Foundations in Comp. Systems,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,"T,R",4,ECS 200,"Evans, Nathan S.",9,0,,,,,
202570,ALL,COMP,Computer Science,5562,COMP 3003,2,Foundations in Comp. Systems,Lecture/Lab,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,"M,W",4,CMK 301,"Evans, Nathan S.",25,19,,,,,
202570,ALL,COMP,Computer Science,5561,COMP 3005,3,Foundation: Python Programming,Lecture,08-SEP-2025 to 16-NOV-2025,7:00PM-8:50PM,"M,W",4,ECS 200,"Hamed, Ahmed Abdeen",26,25,,,,,
202570,ALL,COMP,Computer Science,5702,COMP 3005,4,Foundation: Python Programming,Online/Distance,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,T,4,,"Connin, Sean L.",20,12,,,,,
202570,ALL,COMP,Computer Science,3332,COMP 3005,101,Foundation: Python Programming,Online/Distance,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,R,4,,"Connin, Sean L.",20,17,,,,,
202570,ALL,COMP,Computer Science,5472,COMP 3009,2,Applied Math for DS and AI,Lecture,08-SEP-2025 to 16-NOV-2025,5:00PM-6:50PM,"M,W",4,ECS 201,"Hamed, Ahmed Abdeen",25,16,,,,,
202570,ALL,COMP,Computer Science,4726,COMP 3009,101,Applied Math for DS and AI,Online/Distance,08-SEP-2025 to 16-NOV-2025,7:00PM-8:50PM,T,4,,"Kossek, Wojciech K.",25,21,,,,,
