term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202630,ALL,COMP,Computer Science,1579,COMP 1101,1,Analytical Inquiry I,Lecture,30-MAR-2026 to 07-JUN-2026,2:00PM-3:50PM,"T,R",4,CMK 207,,30,29,09-JUN-2026 to 09-JUN-2026,2:00PM-3:50PM,T,CMK 207,
202630,ALL,COMP,Computer Science,3194,COMP 1101,2,Analytical Inquiry I,Lecture,30-MAR-2026 to 07-JUN-2026,12:00PM-1:50PM,"T,R",4,ECS 300,,30,30,09-JUN-2026 to 09-JUN-2026,12:00PM-1:50PM,T,ECS 300,
202630,ALL,COMP,Computer Science,3111,COMP 1203,1,Intro. to Computer Science III,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,10:00AM-10:50AM,"T,R",2,ECS 200,"Taami, Tania",30,21,,,,,
202630,ALL,COMP,Computer Science,3112,COMP 1203,2,Intro. to Computer Science III,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,12:00PM-12:50PM,"T,R",2,ECS 301,"Taami, Tania",30,26,09-JUN-2026 to 09-JUN-2026,12:00PM-1:50PM,T,ECS 301,
202630,ALL,COMP,Computer Science,3115,COMP 1352,1,Introduction to Programming II,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"M,W",3,ECS 300,"Anjum, Iffat",30,15,08-JUN-2026 to 08-JUN-2026,10:00AM-11:50AM,M,ECS 300,
202630,ALL,COMP,Computer Science,3116,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"M,W",3,ECS 400,"Hossain, Ismail",30,12,08-JUN-2026 to 08-JUN-2026,10:00AM-11:50AM,M,ECS 400,
202630,ALL,COMP,Computer Science,3117,COMP 1353,2,Data Struct. & Algorithms I,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"M,W",3,ECS 401,"Stevens, Alexander L.",30,30,08-JUN-2026 to 08-JUN-2026,10:00AM-11:50AM,M,ECS 401,
202630,ALL,COMP,Computer Science,3121,COMP 1353,6,Data Struct. & Algorithms I,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"T,R",3,ECS 201,"Stevens, Alexander L.",30,14,09-JUN-2026 to 09-JUN-2026,10:00AM-11:50AM,T,ECS 201,
202630,ALL,COMP,Computer Science,3596,COMP 2361,1,Systems I,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,12:00PM-1:50PM,"M,W",4,ECS 400,"Hannum, Andrew T.",30,24,,,,,
202630,ALL,COMP,Computer Science,3597,COMP 2361,2,Systems I,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,2:00PM-3:50PM,"M,W",4,ECS 400,"Hannum, Andrew T.",30,19,,,,,
202630,ALL,COMP,Computer Science,4148,COMP 2370,1,Data Struct. & Algorithms II,Lecture,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"T,R",4,ECS 300,"Hossain, Ismail",30,15,09-JUN-2026 to 09-JUN-2026,10:00AM-11:50AM,T,ECS 300,
202630,ALL,COMP,Computer Science,4730,COMP 3006,1,Python Software Development,Lecture,30-MAR-2026 to 07-JUN-2026,5:00PM-6:50PM,"T,R",4,ECS 401,"Hamed, Ahmed Abdeen",20,4,,,,,
202630,ALL,COMP,Computer Science,2786,COMP 3006,101,Python Software Development,Online/Distance,30-MAR-2026 to 07-JUN-2026,7:00PM-8:50PM,R,4,,"Connin, Sean L.",20,11,,,,,
202630,ALL,COMP,Computer Science,2584,COMP 3007,101,Foundations: DS Math I,Online/Distance,30-MAR-2026 to 07-JUN-2026,5:00PM-6:50PM,T,4,,,20,0,,,,,
202630,ALL,COMP,Computer Science,2586,COMP 3008,101,Foundations: DS Math II,Online/Distance,30-MAR-2026 to 07-JUN-2026,7:00PM-8:50PM,W,4,,,20,0,,,,,
202630,ALL,COMP,Computer Science,4149,COMP 3100,1,Human-Computer Interaction,Lecture,30-MAR-2026 to 07-JUN-2026,2:00PM-3:50PM,"T,R",4,JMAC 141,"Xie, Benjamin X.",30,30,09-JUN-2026 to 09-JUN-2026,2:00PM-3:50PM,T,JMAC 141,
202630,ALL,COMP,Computer Science,4707,COMP 3100,2,Human-Computer Interaction,Lecture,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"T,R",4,BAUD 102,"Xie, Benjamin X.",30,31,09-JUN-2026 to 09-JUN-2026,10:00AM-11:50AM,T,BAUD 102,
202630,ALL,COMP,Computer Science,2251,COMP 3351,1,Programming Languages,Lecture,30-MAR-2026 to 07-JUN-2026,2:00PM-3:50PM,"M,W",4,ECS 401,"Stevenson, Daniel E.",32,32,,,,,
202630,ALL,COMP,Computer Science,2800,COMP 3356,1,Introductory C/C++ Programming,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,7:00PM-8:50PM,"M,W",4,ECS 201,"Petrehn, Sydney M.",25,14,,,,,
202630,ALL,COMP,Computer Science,1288,COMP 3371,1,Data Structures &  Algorithms,Lecture,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"M,W",4,ECS 201,"Lopez, Mario A.",32,8,08-JUN-2026 to 08-JUN-2026,10:00AM-11:50AM,M,ECS 201,
202630,ALL,COMP,Computer Science,4168,COMP 3382,2,Software Engineering II,Lecture,30-MAR-2026 to 07-JUN-2026,4:00PM-5:50PM,"T,R",4,ECS 200,"Rutherford, Matthew J.",30,9,09-JUN-2026 to 09-JUN-2026,4:00PM-5:50PM,T,ECS 200,
202630,ALL,COMP,Computer Science,4942,COMP 3384,1,Secure Software Engineering,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,7:00PM-8:50PM,"T,R",4,,"Anjum, Iffat",8,5,,,,,
202630,ALL,COMP,Computer Science,4150,COMP 3411,1,Web Programming II,Lecture,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"T,R",4,ECS 400,"Kraft, Aaron R.",30,13,09-JUN-2026 to 09-JUN-2026,10:00AM-11:50AM,T,ECS 400,
202630,ALL,COMP,Computer Science,2588,COMP 3421,101,Database Organization & Mgmt I,Online/Distance,30-MAR-2026 to 07-JUN-2026,5:00PM-6:50PM,W,4,,"Hamed, Ahmed Abdeen",25,23,,,,,
202630,ALL,COMP,Computer Science,4713,COMP 3501,1,Intro Artificial Intelligence,Lecture,30-MAR-2026 to 07-JUN-2026,2:00PM-3:50PM,"T,R",4,CMK 101,"Kraft, Aaron R.",30,29,09-JUN-2026 to 09-JUN-2026,2:00PM-3:50PM,T,CMK 101,
202630,ALL,COMP,Computer Science,4684,COMP 3620,1,Computer Vision,Lecture,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"T,R",4,MRH 019,"Mahoor, Mohammad H.",15,15,09-JUN-2026 to 09-JUN-2026,10:00AM-11:50AM,T,MRH 019,
202630,ALL,COMP,Computer Science,4705,COMP 3701,1,Topics in Computer Graphics,Lecture,30-MAR-2026 to 07-JUN-2026,2:00PM-3:50PM,"T,R",4,ECS 201,"Oleson, Alannah",15,6,09-JUN-2026 to 09-JUN-2026,2:00PM-3:50PM,T,ECS 201,
202630,ALL,COMP,Computer Science,4716,COMP 3703,4,Topics-Artificial Intelligence,Lecture,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"M,W",4,ECS 301,"Edgington, Jeffrey M.",20,12,08-JUN-2026 to 08-JUN-2026,10:00AM-11:50AM,M,ECS 301,
202630,ALL,COMP,Computer Science,4517,COMP 3705,5,Topics in Computer Science,Lecture,30-MAR-2026 to 07-JUN-2026,10:00AM-11:50AM,"T,R",4,ECS 301,"Durso, Catherine S.",20,7,09-JUN-2026 to 09-JUN-2026,10:00AM-11:50AM,T,ECS 301,
202630,ALL,COMP,Computer Science,4742,COMP 3705,6,Topics in Computer Science,Lecture,30-MAR-2026 to 07-JUN-2026,12:00PM-1:50PM,"T,R",4,ECS 401,"Dewri, Rinku",15,10,,,,,
202630,ALL,COMP,Computer Science,2252,COMP 3722,1,Network Security,Lecture,30-MAR-2026 to 07-JUN-2026,5:00PM-6:50PM,"T,R",4,ECS 410,"Dewri, Rinku",15,3,,,,,
202630,ALL,COMP,Computer Science,2805,COMP 3723,1,Ethical Hacking,Lecture/Lab,30-MAR-2026 to 07-JUN-2026,5:00PM-6:50PM,"M,W",4,ECS 410,"Evans, Nathan S.",30,30,,,,,
202630,ALL,COMP,Computer Science,2785,COMP 3801,1,Introduction Computer Graphics,Lecture,30-MAR-2026 to 07-JUN-2026,4:00PM-5:50PM,"M,W",4,ECS 300,"Stevenson, Daniel E.",30,11,08-JUN-2026 to 08-JUN-2026,4:00PM-5:50PM,M,ECS 300,
202630,ALL,COMP,Computer Science,4137,COMP 3821,1,Game Programming I,Lecture,30-MAR-2026 to 07-JUN-2026,6:00PM-7:50PM,"M,W",4,ECS 200,"Dunagan, Ryan A.",20,8,08-JUN-2026 to 08-JUN-2026,6:00PM-7:50PM,M,ECS 200,
202630,ALL,COMP,Computer Science,2067,COMP 3833,1,Game Capstone II,Lecture,30-MAR-2026 to 07-JUN-2026,6:00PM-8:50PM,W,4,ECS 358,"Gansciu, Serban B.",10,9,,,,,
202630,ALL,COMP,Computer Science,2315,COMP 3904,2,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,30-MAR-2026 to 07-JUN-2026,,,0,,"Albow, Mohammed M.",15,0,,,,,
202630,ALL,COMP,Computer Science,2308,COMP 3904,3,Internship/Co-Op in Computing,,,,,4,,,0,0,,,,,
202630,ALL,COMP,Computer Science,2462,COMP 3904,4,Internship/Co-Op in Computing,Internship/Externship/Coop Ed.,30-MAR-2026 to 07-JUN-2026,,,4,,"Durso, Catherine S.",15,0,,,,,
