term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202670,ALL,COMP,Computer Science,2860,COMP 1101,1,Analytical Inquiry I,Lecture,08-SEP-2026 to 16-NOV-2026,12:00PM-1:50PM,"T,R",4,ECS 200,,30,29,17-NOV-2026 to 17-NOV-2026,12:00PM-1:50PM,T,ECS 200,
202670,ALL,COMP,Computer Science,3934,COMP 1101,4,Analytical Inquiry I,Lecture,08-SEP-2026 to 16-NOV-2026,4:00PM-5:50PM,"T,R",4,ECS 201,,30,27,17-NOV-2026 to 17-NOV-2026,4:00PM-5:50PM,T,ECS 201,
202670,ALL,COMP,Computer Science,5147,COMP 1111,1,Electronics for the Arts,Lecture,08-SEP-2026 to 16-NOV-2026,2:00PM-3:50PM,"M,W",4,ECS 301,,35,33,,,,,
202670,ALL,COMP,Computer Science,5416,COMP 1111,2,Electronics for the Arts,Lab,08-SEP-2026 to 16-NOV-2026,12:00PM-1:50PM,R,0,ECS 334,,16,16,,,,,
202670,ALL,COMP,Computer Science,5417,COMP 1111,3,Electronics for the Arts,Lab,08-SEP-2026 to 16-NOV-2026,2:00PM-3:50PM,R,0,ECS 334,,16,15,,,,,
202670,ALL,COMP,Computer Science,2855,COMP 1201,1,Intro. to Computer Science I,Lecture/Lab,08-SEP-2026 to 16-NOV-2026,1:00PM-1:50PM,"T,R",2,STURM 187,,42,41,,,,,
202670,ALL,COMP,Computer Science,2856,COMP 1201,2,Intro. to Computer Science I,Lecture/Lab,08-SEP-2026 to 16-NOV-2026,11:00AM-11:50AM,"T,R",2,ECS 200,,35,30,,,,,
202670,ALL,COMP,Computer Science,2857,COMP 1351,1,Introduction to Programming I,Lecture/Lab,08-SEP-2026 to 16-NOV-2026,10:00AM-11:50AM,"M,W",3,ECS 401,,30,20,18-NOV-2026 to 18-NOV-2026,10:00AM-11:50AM,W,ECS 401,
202670,ALL,COMP,Computer Science,3693,COMP 1351,8,Introduction to Programming I,Lecture/Lab,08-SEP-2026 to 16-NOV-2026,2:00PM-3:50PM,"M,W",3,ECS 400,,25,26,18-NOV-2026 to 18-NOV-2026,2:00PM-3:50PM,W,ECS 400,
202670,ALL,COMP,Computer Science,3044,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,08-SEP-2026 to 16-NOV-2026,12:00PM-1:50PM,"M,W",3,ECS 200,,32,23,18-NOV-2026 to 18-NOV-2026,12:00PM-1:50PM,W,ECS 200,
202670,ALL,COMP,Computer Science,4621,COMP 1451,1,Engineering Programming,Lecture,08-SEP-2026 to 16-NOV-2026,2:00PM-3:50PM,"M,W",4,ECS 200,,30,28,18-NOV-2026 to 18-NOV-2026,2:00PM-3:50PM,W,ECS 200,
202670,ALL,COMP,Computer Science,4622,COMP 1451,2,Engineering Programming,Lecture,08-SEP-2026 to 16-NOV-2026,2:00PM-3:50PM,"M,W",4,ECS 401,,30,30,18-NOV-2026 to 18-NOV-2026,2:00PM-3:50PM,W,ECS 401,
202670,ALL,COMP,Computer Science,4623,COMP 1451,3,Engineering Programming,Lecture,08-SEP-2026 to 16-NOV-2026,2:00PM-3:50PM,"T,R",4,ECS 400,,30,29,17-NOV-2026 to 17-NOV-2026,2:00PM-3:50PM,T,ECS 400,
202670,ALL,COMP,Computer Science,4624,COMP 1451,4,Engineering Programming,Lecture,08-SEP-2026 to 16-NOV-2026,2:00PM-3:50PM,"T,R",4,ECS 200,,30,17,17-NOV-2026 to 17-NOV-2026,2:00PM-3:50PM,T,ECS 200,
202670,ALL,COMP,Computer Science,2038,COMP 2300,1,Discrete Structures in CS,Lecture,08-SEP-2026 to 16-NOV-2026,10:00AM-11:50AM,"T,R",4,CMK 207,,34,16,17-NOV-2026 to 17-NOV-2026,10:00AM-11:50AM,T,CMK 207,
202670,ALL,COMP,Computer Science,3075,COMP 2300,2,Discrete Structures in CS,Lecture,08-SEP-2026 to 16-NOV-2026,12:00PM-1:50PM,"T,R",4,ECS 301,,34,23,17-NOV-2026 to 17-NOV-2026,12:00PM-1:50PM,T,ECS 301,
202670,ALL,COMP,Computer Science,3653,COMP 2361,2,Systems I,Lecture/Lab,08-SEP-2026 to 16-NOV-2026,12:00PM-1:50PM,"M,W",4,ECS 201,,30,10,18-NOV-2026 to 18-NOV-2026,12:00PM-1:50PM,W,ECS 201,
202670,ALL,COMP,Computer Science,3204,COMP 2362,3,Systems II,Lecture/Lab,08-SEP-2026 to 16-NOV-2026,4:00PM-5:50PM,"M,W",4,OLIN 103,,15,9,18-NOV-2026 to 18-NOV-2026,4:00PM-5:50PM,W,OLIN 103,
202670,ALL,COMP,Computer Science,3694,COMP 2362,4,Systems II,Lecture,08-SEP-2026 to 16-NOV-2026,2:00PM-3:50PM,"M,W",4,ECS 300,,42,23,18-NOV-2026 to 18-NOV-2026,2:00PM-3:50PM,W,ECS 300,
202670,ALL,COMP,Computer Science,3002,COMP 2381,1,Object-Oriented Software Dev.,Lecture/Lab,08-SEP-2026 to 16-NOV-2026,12:00PM-1:50PM,"M,W",4,ECS 300,,40,10,18-NOV-2026 to 18-NOV-2026,12:00PM-1:50PM,W,ECS 300,
202670,ALL,COMP,Computer Science,3304,COMP 2381,4,Object-Oriented Software Dev.,Lecture/Lab,08-SEP-2026 to 16-NOV-2026,4:00PM-5:50PM,"T,R",4,ECS 200,,30,23,17-NOV-2026 to 17-NOV-2026,4:00PM-5:50PM,T,ECS 200,
202670,ALL,COMP,Computer Science,4625,COMP 2401,1,Unix Command-Line Bootcamp,Online/Distance,08-SEP-2026 to 16-NOV-2026,,,1,,,50,8,,,,,
202670,ALL,COMP,Computer Science,3538,COMP 2821,1,Introductory Game Design,Lecture,08-SEP-2026 to 16-NOV-2026,6:00PM-7:50PM,"T,R",4,ECS 358,,15,9,17-NOV-2026 to 17-NOV-2026,6:00PM-7:50PM,T,ECS 358,
202670,ALL,COMP,Computer Science,3676,COMP 3100,2,Human-Computer Interaction,Lecture,08-SEP-2026 to 16-NOV-2026,12:00PM-1:50PM,"M,W",4,ECS 400,,20,17,18-NOV-2026 to 18-NOV-2026,12:00PM-1:50PM,W,ECS 400,
202670,ALL,COMP,Computer Science,3815,COMP 3361,3,Operating Systems I,Lecture,08-SEP-2026 to 16-NOV-2026,4:00PM-5:50PM,"T,R",4,ECS 300,,40,8,17-NOV-2026 to 17-NOV-2026,4:00PM-5:50PM,T,ECS 300,
202670,ALL,COMP,Computer Science,5422,COMP 3421,1,Database Organization & Mgmt I,Online/Distance,08-SEP-2026 to 16-NOV-2026,5:00PM-6:50PM,R,4,ONL,,5,2,19-NOV-2026 to 19-NOV-2026,5:00PM-6:50PM,R,ONL,
202670,ALL,COMP,Computer Science,3950,COMP 3490,1,Understanding AI,Lecture,08-SEP-2026 to 16-NOV-2026,2:00PM-3:50PM,"M,W",4,ECS 410,,12,9,18-NOV-2026 to 18-NOV-2026,2:00PM-3:50PM,W,ECS 410,
