term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202430,ALL,COMP,Computer Science,1629,COMP 1101,1,Analytical Inquiry I,Lecture,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"T,R",4,ECS 300,"Gao, Sky T.",35,33,11-JUN-2024 to 11-JUN-2024,2:00PM-3:50PM,T,ECS 300,
202430,ALL,COMP,Computer Science,4200,COMP 1101,2,Analytical Inquiry I,Lecture,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"T,R",4,ECS 200,"Gao, Sky T.",30,30,11-JUN-2024 to 11-JUN-2024,12:00PM-1:50PM,T,ECS 200,
202430,ALL,COMP,Computer Science,3869,COMP 1203,1,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,10:00AM-10:50AM,"T,R",2,ECS 201,"Hannum, Andrew T.",30,30,,,,,
202430,ALL,COMP,Computer Science,3870,COMP 1203,2,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,11:00AM-11:50AM,"T,R",2,ECS 201,"Hannum, Andrew T.",30,31,,,,,
202430,ALL,COMP,Computer Science,3871,COMP 1203,3,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,12:00PM-12:50PM,"M,W",2,ECS 201,"Das, Sanchari",30,25,,,,,
202430,ALL,COMP,Computer Science,3872,COMP 1203,4,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,1:00PM-1:50PM,"M,W",2,ECS 201,"Das, Sanchari",30,15,,,,,
202430,ALL,COMP,Computer Science,4081,COMP 1203,5,Intro. to Computer Science III,Lecture/Lab,01-APR-2024 to 09-JUN-2024,3:00PM-3:50PM,"T,R",2,CMK 207,"Anjum, Iffat",25,24,,,,,
202430,ALL,COMP,Computer Science,3873,COMP 1352,1,Introduction to Programming II,Lecture/Lab,01-APR-2024 to 09-JUN-2024,10:00AM-11:50AM,"M,W",3,ECS 300,"Stevens, Alexander L.",35,34,12-JUN-2024 to 12-JUN-2024,10:00AM-11:50AM,W,ECS 300,
202430,ALL,COMP,Computer Science,3874,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,10:00AM-11:50AM,"T,R",3,ECS 300,"Liu, Faan Tone",30,29,11-JUN-2024 to 11-JUN-2024,10:00AM-11:50AM,T,ECS 300,
202430,ALL,COMP,Computer Science,3875,COMP 1353,2,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,10:00AM-11:50AM,"M,W",3,ECS 401,"Albow, Mohammed M.",30,32,10-JUN-2024 to 10-JUN-2024,10:00AM-11:50AM,M,ECS 401,
202430,ALL,COMP,Computer Science,3877,COMP 1353,4,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"M,W",3,ECS 401,"Hannum, Andrew T.",30,25,10-JUN-2024 to 10-JUN-2024,12:00PM-1:50PM,M,ECS 401,
202430,ALL,COMP,Computer Science,3878,COMP 1353,5,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"M,W",3,ECS 201,"Stevens, Alexander L.",28,28,10-JUN-2024 to 10-JUN-2024,2:00PM-3:50PM,M,ECS 201,
202430,ALL,COMP,Computer Science,3879,COMP 1353,6,Data Struct. & Algorithms I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"T,R",3,ECS 201,"Anjum, Iffat",30,20,11-JUN-2024 to 11-JUN-2024,12:00PM-1:50PM,T,ECS 201,
202430,ALL,COMP,Computer Science,5532,COMP 2361,1,Systems I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"M,W",4,ECS 301,"Stevenson, Daniel E.",38,41,10-JUN-2024 to 10-JUN-2024,12:00PM-1:50PM,M,ECS 301,
202430,ALL,COMP,Computer Science,5533,COMP 2361,2,Systems I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"M,W",4,ECS 301,"Stevenson, Daniel E.",38,38,10-JUN-2024 to 10-JUN-2024,2:00PM-3:50PM,M,ECS 301,
202430,ALL,COMP,Computer Science,5534,COMP 2361,3,Systems I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,4:00PM-5:50PM,"M,W",4,ECS 300,"Stevenson, Daniel E.",38,34,12-JUN-2024 to 12-JUN-2024,4:00PM-5:50PM,W,ECS 300,
202430,ALL,COMP,Computer Science,5970,COMP 2361,4,Systems I,Lecture/Lab,01-APR-2024 to 09-JUN-2024,6:00PM-7:50PM,"M,W",4,ECS 301,"Stevenson, Daniel E.",30,22,10-JUN-2024 to 10-JUN-2024,6:00PM-7:50PM,M,,
202430,ALL,COMP,Computer Science,5535,COMP 2370,1,Data Struct. & Algorithms II,Lecture,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"M,W",4,STURM 379,"Albow, Mohammed M.",40,41,10-JUN-2024 to 10-JUN-2024,2:00PM-3:50PM,M,STURM 379,
202430,ALL,COMP,Computer Science,5752,COMP 2701,1,Topics in Computer Science,Online/Distance,01-APR-2024 to 13-JUN-2024,,,1,,"Rutherford, Matthew J.",52,44,,,,,
202430,ALL,COMP,Computer Science,6061,COMP 2701,2,Topics in Computer Science,Lecture,01-APR-2024 to 13-JUN-2024,3:00PM-3:50PM,R,1,ECS 410,"Albow, Mohammed M.",0,12,,,,,
202430,ALL,COMP,Computer Science,3161,COMP 3006,101,Python Software Development,Online/Distance,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,R,4,,"Crutchfield-Todd, Dalton J.",25,7,,,,,
202430,ALL,COMP,Computer Science,2839,COMP 3007,101,Foundations: DS Math I,Online/Distance,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,T,4,,"Gerics, Brendt",25,5,,,,,
202430,ALL,COMP,Computer Science,2841,COMP 3008,101,Foundations: DS Math II,Online/Distance,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,W,4,,"Kossek, Wojciech K.",25,8,,,,,
202430,ALL,COMP,Computer Science,2396,COMP 3351,1,Programming Languages,Lecture,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"T,R",4,ECS 300,"Edgington, Jeffrey M.",30,33,11-JUN-2024 to 11-JUN-2024,12:00PM-1:50PM,T,ECS 300,
202430,ALL,COMP,Computer Science,3176,COMP 3356,1,Introductory C/C++ Programming,Lecture/Lab,01-APR-2024 to 09-JUN-2024,7:00PM-8:50PM,"M,W",4,ECS 201,"Kraft, Aaron R.",25,21,10-JUN-2024 to 10-JUN-2024,7:00PM-8:50PM,M,ECS 201,
202430,ALL,COMP,Computer Science,1313,COMP 3371,1,Data Structures &  Algorithms,Lecture,01-APR-2024 to 09-JUN-2024,4:00PM-5:50PM,"T,R",4,ECS 200,"Lopez, Mario A.",32,13,11-JUN-2024 to 11-JUN-2024,4:00PM-5:50PM,T,ECS 200,
202430,ALL,COMP,Computer Science,5943,COMP 3371,2,Data Structures &  Algorithms,Lecture,01-APR-2024 to 10-JUN-2024,12:00PM-1:50PM,"T,R",4,ECS 400,"Lopez, Mario A.",19,16,11-JUN-2024 to 11-JUN-2024,12:00PM-1:50PM,T,ECS 400,
202430,ALL,COMP,Computer Science,2843,COMP 3421,101,Database Organization & Mgmt I,Online/Distance,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,W,4,,"Mashinchi, Navid",25,11,,,,,
202430,ALL,COMP,Computer Science,3855,COMP 3703,1,Topics-Artificial Intelligence,Lecture,01-APR-2024 to 09-JUN-2024,10:00AM-11:50AM,"M,W",4,ECS 201,"GauthierDickey, Christopher J.",25,21,10-JUN-2024 to 10-JUN-2024,10:00AM-11:50AM,M,ECS 201,
202430,ALL,COMP,Computer Science,3884,COMP 3703,2,Topics-Artificial Intelligence,Lecture,01-APR-2024 to 09-JUN-2024,2:00PM-3:50PM,"T,R",4,ECS 201,"Hutt, Stephen J.",0,22,11-JUN-2024 to 11-JUN-2024,2:00PM-3:50PM,T,ECS 201,
202430,ALL,COMP,Computer Science,2395,COMP 3704,2,Advanced Topics: Systems,Lecture,01-APR-2024 to 09-JUN-2024,5:00PM-6:50PM,"T,R",4,ECS 410,"Nance, Kara L.",30,19,11-JUN-2024 to 11-JUN-2024,5:00PM-6:50PM,T,ECS 410,
202430,ALL,COMP,Computer Science,3882,COMP 3705,1,Topics in Computer Science,Lecture,01-APR-2024 to 09-JUN-2024,12:00PM-1:50PM,"T,R",4,ECS 401,"Liu, Faan Tone",28,23,11-JUN-2024 to 11-JUN-2024,12:00PM-1:50PM,T,ECS 401,
202430,ALL,COMP,Computer Science,3883,COMP 3705,2,Topics in Computer Science,Lecture,01-APR-2024 to 09-JUN-2024,4:00PM-5:50PM,"M,W",4,ECS 401,"Rutherford, Matthew J.",20,15,10-JUN-2024 to 10-JUN-2024,4:00PM-5:50PM,M,ECS 401,
