term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202470,ALL,COMP,Computer Science,3422,COMP 1101,1,Analytical Inquiry I,Lecture,09-SEP-2024 to 17-NOV-2024,12:00PM-1:50PM,"T,R",4,ECS 301,"Gao, Sky T.",40,35,19-NOV-2024 to 19-NOV-2024,12:00PM-1:50PM,T,ECS 301,
202470,ALL,COMP,Computer Science,3492,COMP 1101,3,Analytical Inquiry I,Lecture,09-SEP-2024 to 17-NOV-2024,4:00PM-5:50PM,"T,R",4,ECS 300,"Gao, Sky T.",35,30,19-NOV-2024 to 19-NOV-2024,4:00PM-5:50PM,T,ECS 300,
202470,ALL,COMP,Computer Science,3413,COMP 1201,1,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,1:00PM-1:50PM,"T,R",2,SIE 2115,"Oleson, Alannah",35,33,,,,,
202470,ALL,COMP,Computer Science,3414,COMP 1201,2,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,11:00AM-11:50AM,"T,R",2,ECS 201,"Oleson, Alannah",32,26,,,,,
202470,ALL,COMP,Computer Science,3425,COMP 1201,4,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,10:00AM-10:50AM,"T,R",2,ECS 301,"Hutt, Stephen J.",35,34,,,,,
202470,ALL,COMP,Computer Science,4115,COMP 1201,7,Intro. to Computer Science I,Online/Distance,09-SEP-2024 to 17-NOV-2024,,,2,,"Shrestha, Sunny",30,27,,,,,
202470,ALL,COMP,Computer Science,4484,COMP 1201,9,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,11:00AM-11:50AM,"T,R",2,ECS 301,"Hutt, Stephen J.",30,18,,,,,
202470,ALL,COMP,Computer Science,4485,COMP 1201,10,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,12:00PM-12:50PM,"T,R",2,CMK 101,"Shrestha, Sunny",30,26,,,,,
202470,ALL,COMP,Computer Science,3415,COMP 1351,1,Introduction to Programming I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,10:00AM-11:50AM,"M,W",3,CMK 301,"Stevens, Alexander L.",30,23,09-SEP-2024 to 17-NOV-2024,10:00AM-11:50AM,M,CMK 301,
202470,ALL,COMP,Computer Science,3416,COMP 1351,2,Introduction to Programming I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,10:00AM-11:50AM,"M,W",3,ECS 401,"Albow, Mohammed M.",32,27,18-NOV-2024 to 18-NOV-2024,10:00AM-11:50AM,M,ECS 401,
