term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202710,ALL,COMP,Computer Science,3651,COMP 1101,1,Analytical Inquiry I,Lecture,04-JAN-2027 to 19-MAR-2027,10:00AM-11:50AM,"T,R",4,,,30,0,,,,,
202710,ALL,COMP,Computer Science,4373,COMP 1101,3,Analytical Inquiry I,Lecture,04-JAN-2027 to 19-MAR-2027,2:00PM-3:50PM,"T,R",4,,,30,0,,,,,
202710,ALL,COMP,Computer Science,2819,COMP 1202,1,Intro. to Computer Science II,Lecture/Lab,04-JAN-2027 to 19-MAR-2027,10:00AM-10:50AM,"T,R",2,,"Leutenegger, Scott T.",35,0,,,,,
202710,ALL,COMP,Computer Science,2820,COMP 1202,2,Intro. to Computer Science II,Lecture/Lab,04-JAN-2027 to 19-MAR-2027,11:00AM-11:50AM,"T,R",2,,"Leutenegger, Scott T.",35,0,,,,,
202710,ALL,COMP,Computer Science,2821,COMP 1202,4,Intro. to Computer Science II,Lecture/Lab,04-JAN-2027 to 19-MAR-2027,1:00PM-1:50PM,"T,R",2,,"Leutenegger, Scott T.",35,0,,,,,
202710,ALL,COMP,Computer Science,2822,COMP 1351,1,Introduction to Programming I,Lecture/Lab,04-JAN-2027 to 19-MAR-2027,10:00AM-11:50AM,"T,R",3,,"Xie, Benjamin X.",27,0,,,,,
202710,ALL,COMP,Computer Science,2824,COMP 1352,1,Introduction to Programming II,Lecture/Lab,04-JAN-2027 to 19-MAR-2027,10:00AM-11:50AM,"M,W",3,,"Hannum, Andrew T.",30,0,,,,,
202710,ALL,COMP,Computer Science,2825,COMP 1352,3,Introduction to Programming II,Lecture/Lab,04-JAN-2027 to 19-MAR-2027,12:00PM-1:50PM,"M,W",3,,"Anjum, Iffat",30,0,,,,,
202710,ALL,COMP,Computer Science,2826,COMP 1352,4,Introduction to Programming II,Lecture/Lab,04-JAN-2027 to 19-MAR-2027,12:00PM-1:50PM,"T,R",3,,,20,0,,,,,
202710,ALL,COMP,Computer Science,2827,COMP 1352,5,Introduction to Programming II,Lecture/Lab,04-JAN-2027 to 19-MAR-2027,2:00PM-3:50PM,"M,W",3,,"Kraft, Aaron R.",20,0,,,,,
202710,ALL,COMP,Computer Science,3062,COMP 2300,1,Discrete Structures in CS,Lecture,04-JAN-2027 to 19-MAR-2027,2:00PM-3:50PM,"T,R",4,,"Stevens, Alexander L.",39,0,,,,,
202710,ALL,COMP,Computer Science,3500,COMP 2362,1,Systems II,Online/Distance,04-JAN-2027 to 19-MAR-2027,4:00PM-5:50PM,"M,W",4,,"Stevenson, Daniel E.",31,0,,,,,
202710,ALL,COMP,Computer Science,2049,COMP 2370,1,Data Struct. & Algorithms II,Lecture,04-JAN-2027 to 19-MAR-2027,10:00AM-11:50AM,"M,W",4,,"Albow, Mohammed M.",39,0,,,,,
202710,ALL,COMP,Computer Science,2638,COMP 2370,2,Data Struct. & Algorithms II,Lecture,04-JAN-2027 to 19-MAR-2027,12:00PM-1:50PM,"M,W",4,,,40,0,,,,,
202710,ALL,COMP,Computer Science,3035,COMP 2381,1,Object-Oriented Software Dev.,Lecture/Lab,04-JAN-2027 to 19-MAR-2027,10:00AM-11:50AM,"T,R",4,,,25,0,,,,,
202710,ALL,COMP,Computer Science,4374,COMP 2401,1,Unix Command-Line Bootcamp,Online/Distance,04-JAN-2027 to 19-MAR-2027,,,1,,"Rutherford, Matthew J.",50,0,,,,,
