term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202410,ALL,COMP,Computer Science,3898,COMP 1101,2,Analytical Inquiry I,Lecture,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"T,R",4,ECS 200,"Gao, Sky T.",30,28,19-MAR-2024 to 19-MAR-2024,12:00PM-1:50PM,T,ECS 200,
202410,ALL,COMP,Computer Science,3899,COMP 1202,1,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,10:00AM-10:50AM,"T,R",2,ECS 410,"Leutenegger, Scott T.",35,33,,,,,
202410,ALL,COMP,Computer Science,3900,COMP 1202,2,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,11:00AM-11:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",35,34,,,,,
202410,ALL,COMP,Computer Science,3901,COMP 1202,3,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,12:00PM-12:50PM,"T,R",2,ECS 301,"Leutenegger, Scott T.",35,34,,,,,
202410,ALL,COMP,Computer Science,3902,COMP 1202,4,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,1:00PM-1:50PM,"T,R",2,ECS 301,"Hannum, Andrew T.",35,31,,,,,
202410,ALL,COMP,Computer Science,3967,COMP 1202,5,Intro. to Computer Science II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,2:00PM-2:50PM,"T,R",2,ECS 301,"Leutenegger, Scott T.",35,35,,,,,
202410,ALL,COMP,Computer Science,3903,COMP 1351,1,Introduction to Programming I,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"M,W",3,ECS 201,"Hutt, Stephen J.",28,26,20-MAR-2024 to 20-MAR-2024,12:00PM-1:50PM,W,ECS 201,
202410,ALL,COMP,Computer Science,5909,COMP 1351,3,Introduction to Programming I,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,4:00PM-5:50PM,"T,R",3,ECS 201,"GauthierDickey, Christopher J.",1,6,19-MAR-2024 to 19-MAR-2024,4:00PM-5:50PM,T,ECS 201,
202410,ALL,COMP,Computer Science,3911,COMP 1352,1,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"M,W",3,ECS 201,"Stevens, Alexander L.",30,28,20-MAR-2024 to 20-MAR-2024,10:00AM-11:50AM,W,,
202410,ALL,COMP,Computer Science,3912,COMP 1352,2,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"M,W",3,ECS 200,"Liu, Faan Tone",30,29,20-MAR-2024 to 20-MAR-2024,10:00AM-11:50AM,W,,
202410,ALL,COMP,Computer Science,3913,COMP 1352,3,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"M,W",3,ECS 401,"Liu, Faan Tone",30,30,20-MAR-2024 to 20-MAR-2024,12:00PM-1:50PM,W,,
202410,ALL,COMP,Computer Science,3914,COMP 1352,4,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,2:00PM-3:50PM,"M,W",3,ECS 401,"Hannum, Andrew T.",30,28,20-MAR-2024 to 20-MAR-2024,2:00PM-3:50PM,W,ECS 401,
202410,ALL,COMP,Computer Science,3915,COMP 1352,5,Introduction to Programming II,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,2:00PM-3:50PM,"M,W",3,CMK 301,"Edgington, Jeffrey M.",30,30,20-MAR-2024 to 20-MAR-2024,2:00PM-3:50PM,W,,
202410,ALL,COMP,Computer Science,5646,COMP 2300,1,Discrete Structures in CS,Lecture,08-JAN-2024 to 18-MAR-2024,2:00PM-3:50PM,"T,R",4,STURM 479,"Stevens, Alexander L.",47,48,19-MAR-2024 to 19-MAR-2024,2:00PM-3:50PM,T,STURM 479,
202410,ALL,COMP,Computer Science,2260,COMP 2370,01,Data Struct. & Algorithms II,Lecture,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"M,W",4,SAB 119,"Albow, Mohammed M.",39,43,20-MAR-2024 to 20-MAR-2024,10:00AM-11:50AM,W,SAB 119,
202410,ALL,COMP,Computer Science,3208,COMP 2370,2,Data Struct. & Algorithms II,Lecture,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"M,W",4,SAB 119,"Albow, Mohammed M.",41,31,20-MAR-2024 to 20-MAR-2024,12:00PM-1:50PM,W,SAB 119,
202410,ALL,COMP,Computer Science,5726,COMP 2370,3,Data Struct. & Algorithms II,Lecture,08-JAN-2024 to 22-MAR-2024,12:00PM-1:50PM,"T,R",4,ECS 201,"Albow, Mohammed M.",25,25,,,,,
202410,ALL,COMP,Computer Science,5484,COMP 2381,1,Object-Oriented Software Dev.,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"T,R",4,ECS 200,"Anjum, Iffat",25,26,19-MAR-2024 to 19-MAR-2024,10:00AM-11:50AM,T,ECS 200,
202410,ALL,COMP,Computer Science,4020,COMP 2821,1,Introductory Game Design,Lecture,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"T,R",4,ECS 358,"Edgington, Jeffrey M.",20,23,19-MAR-2024 to 19-MAR-2024,10:00AM-11:50AM,T,ECS 358,
202410,ALL,COMP,Computer Science,5729,COMP 2821,2,Introductory Game Design,Lecture,08-JAN-2024 to 18-MAR-2024,10:00AM-11:50AM,"M,W",4,ECS 358,"Edgington, Jeffrey M.",11,16,20-MAR-2024 to 20-MAR-2024,10:00AM-11:50AM,W,ECS 358,
202410,ALL,COMP,Computer Science,3907,COMP 3004,1,Foundations in Discrete/Algo,Lecture/Lab,08-JAN-2024 to 18-MAR-2024,5:00PM-6:50PM,"M,W",4,ECS 401,"Stevens, Alexander L.",25,21,,,,,
202410,ALL,COMP,Computer Science,2865,COMP 3006,1,Python Software Development,Lecture,08-JAN-2024 to 18-MAR-2024,7:00PM-8:50PM,"T,R",4,ECS 410,"Parada San Martin, Daniel A.",45,44,,,,,
202410,ALL,COMP,Computer Science,2857,COMP 3006,101,Python Software Development,Online/Distance,08-JAN-2024 to 18-MAR-2024,7:00PM-8:50PM,R,4,,"Crutchfield-Todd, Dalton J.",25,9,,,,,
202410,ALL,COMP,Computer Science,2858,COMP 3007,101,Foundations: DS Math I,Online/Distance,08-JAN-2024 to 18-MAR-2024,7:00PM-8:50PM,T,4,,"Kossek, Wojciech K.",25,10,,,,,
202410,ALL,COMP,Computer Science,2860,COMP 3008,101,Foundations: DS Math II,Online/Distance,08-JAN-2024 to 18-MAR-2024,7:00PM-8:50PM,W,4,ECS 200,"Gerics, Brendt",25,14,,,,,
202410,ALL,COMP,Computer Science,4108,COMP 3100,2,Human-Computer Interaction,Lecture,08-JAN-2024 to 18-MAR-2024,2:00PM-3:50PM,"M,W",4,ECS 201,"Haring, Kerstin S.",20,27,20-MAR-2024 to 20-MAR-2024,2:00PM-3:50PM,W,ECS 201,
202410,ALL,COMP,Computer Science,5777,COMP 3100,3,Human-Computer Interaction,Lecture,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"M,W",4,CMK 101,"Haring, Kerstin S.",16,20,20-MAR-2024 to 20-MAR-2024,12:00PM-1:50PM,W,CMK 101,
202410,ALL,COMP,Computer Science,1362,COMP 3200,1,Discrete Structures,Lecture,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"M,W",4,ECS 301,"Lopez, Mario A.",40,31,20-MAR-2024 to 20-MAR-2024,12:00PM-1:50PM,W,ECS 301,
202410,ALL,COMP,Computer Science,5460,COMP 3381,1,Software Engineering I,Lecture,08-JAN-2024 to 18-MAR-2024,4:00PM-5:50PM,"M,W",4,ECS 201,"Rutherford, Matthew J.",30,30,20-MAR-2024 to 20-MAR-2024,4:00PM-5:50PM,W,ECS 201,
202410,ALL,COMP,Computer Science,5633,COMP 3410,1,World Wide Web Programming,Directed Study/Research,08-JAN-2024 to 18-MAR-2024,,,4,,"Hannum, Andrew T.",2,2,,,,,
202410,ALL,COMP,Computer Science,5480,COMP 3411,1,Web Programming II,Lecture,08-JAN-2024 to 18-MAR-2024,12:00PM-1:50PM,"M,W",4,ECS 300,"Kraft, Aaron R.",40,34,20-MAR-2024 to 20-MAR-2024,12:00PM-1:50PM,W,ECS 300,
202410,ALL,COMP,Computer Science,2861,COMP 3421,101,Database Organization & Mgmt I,Online/Distance,08-JAN-2024 to 18-MAR-2024,7:00PM-8:50PM,R,4,,"Mashinchi, Navid",25,11,,,,,
202410,ALL,COMP,Computer Science,3908,COMP 3510,1,Software for AI Robotics,Lecture,08-JAN-2024 to 18-MAR-2024,2:00PM-3:50PM,"T,R",4,ECS 200,"Reardon, Christopher M.",14,10,19-MAR-2024 to 19-MAR-2024,2:00PM-3:50PM,T,ECS 200,
202410,ALL,COMP,Computer Science,5482,COMP 3703,2,Topics-Artificial Intelligence,Lecture,08-JAN-2024 to 18-MAR-2024,4:00PM-5:50PM,"M,W",4,ECS 400,"Lopez, Mario A.",0,11,20-MAR-2024 to 20-MAR-2024,4:00PM-5:50PM,W,ECS 400,
