Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202630,3214,COMP 4449,1,DS & AI Capstone,Online/Distance,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,"M,W",4,,,20,0,0,0,,,,,
202630,2886,COMP 4449,101,DS & AI Capstone,Online/Distance,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,W,4,,,20,0,0,0,,,,,
202630,3670,COMP 4531,1,Deep Learning,Lecture,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,"M,W",4,,,30,0,0,0,,,,,
202630,3668,COMP 4531,101,Deep Learning,Online/Distance,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,T,4,,,20,0,0,0,,,,,
202630,2591,COMP 4581,101,Algorithms for DS & AI,Online/Distance,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,T,4,,,20,0,0,0,,,,,
202630,3600,COMP 4703,3,Adv Topics-Artificial Intell,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",4,,,20,0,0,0,,,,,
202630,3122,COMP 4705,1,Advanced Topics-Programming,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",4,,,10,0,0,0,,,,,
202630,3123,COMP 4705,2,Advanced Topics-Programming,Lecture,30-MAR-2026 to 11-JUN-2026,12:00PM-1:50PM,"M,W",4,,"Liu, Faan Tone",8,0,0,0,,,,,
202630,4527,COMP 4705,3,Advanced Topics-Programming,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"T,R",4,,"Durso, Catherine S.",5,0,0,0,,,,,
202630,2120,COMP 4722,1,Network Security,Lecture,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,"T,R",4,,"Dewri, Rinku",15,0,0,0,,,,,
202630,2799,COMP 4723,1,Ethical Hacking,Lecture,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,"M,W",4,,"Evans, Nathan S.",20,0,0,0,,,,,
202630,2639,COMP 4799,1,Cybersecurity Capstone,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,,,4,,"Evans, Nathan S.",2,0,0,0,,,,,
