term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202630,ALL,COMP,Computer Science,3111,COMP 1203,1,Intro. to Computer Science III,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-10:50AM,"T,R",2,,"Oleson, Alannah",30,0,,,,,
202630,ALL,COMP,Computer Science,3112,COMP 1203,2,Intro. to Computer Science III,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,11:00AM-11:50AM,"T,R",2,,"Oleson, Alannah",30,0,,,,,
202630,ALL,COMP,Computer Science,3115,COMP 1352,1,Introduction to Programming II,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",3,,"Stevens, Alexander L.",30,0,,,,,
202630,ALL,COMP,Computer Science,3116,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",3,,"Liu, Faan Tone",30,0,,,,,
202630,ALL,COMP,Computer Science,3117,COMP 1353,2,Data Struct. & Algorithms I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"M,W",3,,"Albow, Mohammed M.",30,0,,,,,
202630,ALL,COMP,Computer Science,3121,COMP 1353,6,Data Struct. & Algorithms I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"T,R",3,,"Albow, Mohammed M.",30,0,,,,,
202630,ALL,COMP,Computer Science,3596,COMP 2361,1,Systems I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,12:00PM-1:50PM,"M,W",4,,"Albow, Mohammed M.",30,0,,,,,
202630,ALL,COMP,Computer Science,3597,COMP 2361,2,Systems I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,2:00PM-3:50PM,"M,W",4,,"Albow, Mohammed M.",30,0,,,,,
202630,ALL,COMP,Computer Science,3598,COMP 2361,3,Systems I,Lecture/Lab,30-MAR-2026 to 11-JUN-2026,4:00PM-5:50PM,"M,W",4,,"Anjum, Iffat",0,0,,,,,
202630,ALL,COMP,Computer Science,4148,COMP 2370,1,Data Struct. & Algorithms II,Lecture,30-MAR-2026 to 11-JUN-2026,10:00AM-11:50AM,"T,R",4,,"Stevens, Alexander L.",0,0,,,,,
202630,ALL,COMP,Computer Science,3719,COMP 2701,1,Topics in Computer Science,Online/Distance,30-MAR-2026 to 11-JUN-2026,,,1,,"Rutherford, Matthew J.",50,0,,,,,
202630,ALL,COMP,Computer Science,2786,COMP 3006,101,Python Software Development,Online/Distance,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,R,4,,,20,0,,,,,
202630,ALL,COMP,Computer Science,2584,COMP 3007,101,Foundations: DS Math I,Online/Distance,30-MAR-2026 to 11-JUN-2026,5:00PM-6:50PM,T,4,,,20,0,,,,,
202630,ALL,COMP,Computer Science,2586,COMP 3008,101,Foundations: DS Math II,Online/Distance,30-MAR-2026 to 11-JUN-2026,7:00PM-8:50PM,W,4,,,20,0,,,,,
202630,ALL,COMP,Computer Science,4149,COMP 3100,1,Human-Computer Interaction,Lecture,30-MAR-2026 to 11-JUN-2026,2:00PM-3:50PM,"M,W",4,,"Oleson, Alannah",30,0,,,,,
