term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202510,ALL,COMP,Computer Science,3322,COMP 1202,1,Intro. to Computer Science II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,10:00AM-10:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",35,23,,,,,
202510,ALL,COMP,Computer Science,3323,COMP 1202,2,Intro. to Computer Science II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,11:00AM-11:50AM,"T,R",2,ECS 301,"Hannum, Andrew T.",40,33,,,,,
202510,ALL,COMP,Computer Science,3325,COMP 1202,4,Intro. to Computer Science II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,1:00PM-1:50PM,"T,R",2,ECS 301,"Hannum, Andrew T.",40,34,,,,,
202510,ALL,COMP,Computer Science,3358,COMP 1202,5,Intro. to Computer Science II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,2:00PM-2:50PM,"T,R",2,ECS 300,"Hannum, Andrew T.",40,31,,,,,
202510,ALL,COMP,Computer Science,3326,COMP 1351,1,Introduction to Programming I,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,10:00AM-11:50AM,"T,R",3,ECS 400,"Gao, Sky T.",33,31,18-MAR-2025 to 18-MAR-2025,10:00AM-11:50AM,T,ECS 400,
202510,ALL,COMP,Computer Science,3333,COMP 1352,1,Introduction to Programming II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,10:00AM-11:50AM,"M,W",3,ECS 201,"Liu, Faan Tone",30,31,19-MAR-2025 to 19-MAR-2025,10:00AM-11:50AM,W,ECS 201,
202510,ALL,COMP,Computer Science,3335,COMP 1352,3,Introduction to Programming II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,12:00PM-1:50PM,"M,W",3,ECS 200,"Liu, Faan Tone",30,28,18-MAR-2025 to 18-MAR-2025,12:00PM-1:50PM,T,ECS 200,
202510,ALL,COMP,Computer Science,3336,COMP 1352,4,Introduction to Programming II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,12:00PM-1:50PM,"T,R",3,ECS 200,"Edgington, Jeffrey M.",30,22,18-MAR-2025 to 18-MAR-2025,12:00PM-1:50PM,T,ECS 201,
202510,ALL,COMP,Computer Science,3337,COMP 1352,5,Introduction to Programming II,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,2:00PM-3:50PM,"M,W",3,ECS 401,"Kraft, Aaron R.",30,18,19-MAR-2025 to 19-MAR-2025,2:00PM-3:50PM,W,ECS 401,
202510,ALL,COMP,Computer Science,4097,COMP 2300,1,Discrete Structures in CS,Lecture,06-JAN-2025 to 17-MAR-2025,2:00PM-3:50PM,"T,R",4,ECS 301,"Stevens, Alexander L.",39,24,18-MAR-2025 to 18-MAR-2025,2:00PM-3:50PM,T,ECS 301,
202510,ALL,COMP,Computer Science,5465,COMP 2362,0,Systems II,Online/Distance,06-JAN-2025 to 21-MAR-2025,4:00PM-5:50PM,"T,R",4,,"Stevenson, Daniel E.",50,36,,,,,
202510,ALL,COMP,Computer Science,2195,COMP 2370,1,Data Struct. & Algorithms II,Lecture,06-JAN-2025 to 17-MAR-2025,10:00AM-11:50AM,"M,W",4,ECS 301,"Albow, Mohammed M.",39,39,19-MAR-2025 to 19-MAR-2025,10:00AM-11:50AM,W,ECS 301,
202510,ALL,COMP,Computer Science,2989,COMP 2370,2,Data Struct. & Algorithms II,Lecture,06-JAN-2025 to 17-MAR-2025,12:00PM-1:50PM,"M,W",4,ECS 301,"Albow, Mohammed M.",40,40,19-MAR-2025 to 19-MAR-2025,12:00PM-1:50PM,W,ECS 301,
202510,ALL,COMP,Computer Science,4347,COMP 2370,3,Data Struct. & Algorithms II,Lecture,06-JAN-2025 to 17-MAR-2025,2:00PM-3:50PM,"T,R",4,ECS 201,"Anjum, Iffat",30,10,18-MAR-2025 to 18-MAR-2025,2:00PM-3:50PM,T,ECS 201,
202510,ALL,COMP,Computer Science,3954,COMP 2381,1,Object-Oriented Software Dev.,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,10:00AM-11:50AM,"T,R",4,SIE 2110,"Anjum, Iffat",25,17,18-MAR-2025 to 18-MAR-2025,10:00AM-11:50AM,T,,
202510,ALL,COMP,Computer Science,4488,COMP 2701,1,Topics in Computer Science,Online/Distance,06-JAN-2025 to 17-MAR-2025,,,1,,"Rutherford, Matthew J.",50,17,,,,,
202510,ALL,COMP,Computer Science,3370,COMP 2821,1,Introductory Game Design,Lecture,06-JAN-2025 to 17-MAR-2025,10:00AM-11:50AM,"T,R",4,ECS 358,"Edgington, Jeffrey M.",20,26,18-MAR-2025 to 18-MAR-2025,10:00AM-11:50AM,T,ECS 358,
202510,ALL,COMP,Computer Science,3330,COMP 3004,1,Foundations in Discrete/Algo,Lecture/Lab,06-JAN-2025 to 17-MAR-2025,5:00PM-6:50PM,"T,R",4,ECS 401,"Stevens, Alexander L.",25,15,,,,,
202510,ALL,COMP,Computer Science,5156,COMP 3005,1,Foundation: Python Programming,Online/Distance,06-JAN-2025 to 17-MAR-2025,5:00PM-6:50PM,W,4,,"Gao, Sky T.",30,14,,,,,
202510,ALL,COMP,Computer Science,2713,COMP 3006,1,Python Software Development,Lecture,06-JAN-2025 to 17-MAR-2025,7:00PM-8:50PM,"T,R",4,ECS 300,"Parada San Martin, Daniel A.",30,24,,,,,
