term,college,subject_code,subject_label,crn,course,section,title,course_type,meeting_dates,time,days,hours,room,instructor,seats,enrolled,exam_meeting_dates,exam_time,exam_days,exam_room,description
202530,ALL,COMP,Computer Science,4975,COMP 3525,0,Human Centered AI,Seminar,31-MAR-2025 to 08-JUN-2025,2:00PM-4:50PM,W,4,ECS 400,"Hutt, Stephen J.",23,23,,,,,
202530,ALL,COMP,Computer Science,4156,COMP 3703,3,Topics-Artificial Intelligence,Lecture,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"M,W",4,MRH 006,"GauthierDickey, Christopher J.",27,26,09-JUN-2025 to 09-JUN-2025,10:00AM-11:50AM,M,MRH 006,
202530,ALL,COMP,Computer Science,4980,COMP 3704,0,Advanced Topics: Systems,Lecture,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,"T,R",4,ECS 201,"Anjum, Iffat",10,8,,,,,
202530,ALL,COMP,Computer Science,4639,COMP 3704,4,Advanced Topics: Systems,Lecture,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"T,R",4,ECS 400,"Rutherford, Matthew J.",30,15,10-JUN-2025 to 10-JUN-2025,10:00AM-11:50AM,T,ECS 400,
202530,ALL,COMP,Computer Science,3429,COMP 3705,1,Topics in Computer Science,Lecture,31-MAR-2025 to 08-JUN-2025,10:00AM-11:50AM,"T,R",4,ECS 301,"Liu, Faan Tone",30,22,10-JUN-2025 to 10-JUN-2025,10:00AM-11:50AM,T,ECS 301,
202530,ALL,COMP,Computer Science,2343,COMP 3722,1,Network Security,Lecture,31-MAR-2025 to 08-JUN-2025,7:00PM-8:50PM,"T,R",4,ECS 201,"Dewri, Rinku",15,1,,,,,
202530,ALL,COMP,Computer Science,3009,COMP 3723,1,Ethical Hacking,Lecture/Lab,31-MAR-2025 to 08-JUN-2025,5:00PM-6:50PM,"M,W",4,ECS 410,"Evans, Nathan S.",30,30,,,,,
202530,ALL,COMP,Computer Science,2988,COMP 3801,1,Introduction Computer Graphics,Lecture,31-MAR-2025 to 08-JUN-2025,4:00PM-5:50PM,"M,W",4,ECS 201,"Kraft, Aaron R.",32,30,09-JUN-2025 to 09-JUN-2025,4:00PM-5:50PM,M,ECS 201,
202530,ALL,COMP,Computer Science,4782,COMP 3821,0,Game Programming I,Lecture,31-MAR-2025 to 08-JUN-2025,6:00PM-7:50PM,"M,W",4,ECS 201,"Dunagan, Ryan A.",20,7,09-JUN-2025 to 09-JUN-2025,6:00PM-7:50PM,M,ECS 201,
202530,ALL,COMP,Computer Science,5539,COMP 3821,2,Game Programming I,Lecture,31-MAR-2025 to 12-JUN-2025,2:00PM-3:50PM,"T,R",4,ECS 358,"GauthierDickey, Christopher J.",15,11,,,,,
202530,ALL,COMP,Computer Science,2698,COMP 3822,1,Game Programming II,Lecture,31-MAR-2025 to 08-JUN-2025,6:00PM-7:50PM,"T,R",4,ECS 358,"Dunagan, Ryan A.",20,10,10-JUN-2025 to 10-JUN-2025,6:00PM-7:50PM,T,ECS 358,
