Term,CRN,Course,Sec,Title,Course Type,Meeting Dates,Time,Days,Hrs,Room,Instructor,Seat,Enr,Crosslisted Enr,Total Enr,In Class,Office Hours,Grading,Time commitment,Notes
202470,3422,COMP 1101,1,Analytical Inquiry I,Lecture,09-SEP-2024 to 17-NOV-2024,12:00PM-1:50PM,"T,R",4,ECS 301,"Gao, Sky T.",40,35,0,35,,,,,
202470,3492,COMP 1101,3,Analytical Inquiry I,Lecture,09-SEP-2024 to 17-NOV-2024,4:00PM-5:50PM,"T,R",4,ECS 300,"Gao, Sky T.",35,30,0,30,,,,,
202470,3413,COMP 1201,1,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,1:00PM-1:50PM,"T,R",2,SIE 2115,"Oleson, Alannah",35,33,0,33,,,,,
202470,3414,COMP 1201,2,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,11:00AM-11:50AM,"T,R",2,ECS 201,"Oleson, Alannah",32,26,0,26,,,,,
202470,3425,COMP 1201,4,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,10:00AM-10:50AM,"T,R",2,ECS 301,"Hutt, Stephen J.",35,34,0,34,,,,,
202470,4115,COMP 1201,7,Intro. to Computer Science I,Online/Distance,09-SEP-2024 to 17-NOV-2024,,,2,,"Shrestha, Sunny",30,27,0,27,,,,,
202470,4484,COMP 1201,9,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,11:00AM-11:50AM,"T,R",2,ECS 301,"Hutt, Stephen J.",30,18,0,18,,,,,
202470,4485,COMP 1201,10,Intro. to Computer Science I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,12:00PM-12:50PM,"T,R",2,CMK 101,"Shrestha, Sunny",30,26,0,26,,,,,
202470,3415,COMP 1351,1,Introduction to Programming I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,10:00AM-11:50AM,"M,W",3,CMK 301,"Stevens, Alexander L.",30,23,0,23,,,,,
202470,3416,COMP 1351,2,Introduction to Programming I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,10:00AM-11:50AM,"M,W",3,ECS 401,"Albow, Mohammed M.",32,27,0,27,,,,,
202470,3417,COMP 1351,3,Introduction to Programming I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,12:00PM-1:50PM,"M,W",3,ECS 300,"Stevens, Alexander L.",35,32,0,32,,,,,
202470,3418,COMP 1351,4,Introduction to Programming I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,2:00PM-3:50PM,"M,W",3,ECS 410,"Albow, Mohammed M.",30,31,0,31,,,,,
202470,3419,COMP 1351,5,Introduction to Programming I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,2:00PM-3:50PM,"M,W",3,ECS 301,"Edgington, Jeffrey M.",38,36,0,36,,,,,
202470,3420,COMP 1351,6,Introduction to Programming I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,4:00PM-5:50PM,"M,W",3,ECS 201,"Edgington, Jeffrey M.",15,11,0,11,,,,,
202470,3421,COMP 1351,7,Introduction to Programming I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,12:00PM-1:50PM,"M,W",3,CMK 101,"Albow, Mohammed M.",25,20,0,20,,,,,
202470,4008,COMP 1353,1,Data Struct. & Algorithms I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,12:00PM-1:50PM,"M,W",3,SIE 2121,"Edgington, Jeffrey M.",32,22,0,22,,,,,
202470,2172,COMP 2300,1,Discrete Structures in CS,Lecture,09-SEP-2024 to 17-NOV-2024,10:00AM-11:50AM,"T,R",4,ECS 300,"Liu, Faan Tone",34,32,0,32,,,,,
202470,4205,COMP 2300,2,Discrete Structures in CS,Lecture,09-SEP-2024 to 17-NOV-2024,12:00PM-1:50PM,"T,R",4,ECS 300,"Liu, Faan Tone",34,30,0,30,,,,,
202470,2962,COMP 2300,3,Discrete Structures in CS,Lecture,09-SEP-2024 to 17-NOV-2024,2:00PM-3:50PM,"T,R",4,ECS 300,"Stevens, Alexander L.",30,33,0,33,,,,,
202470,4883,COMP 2361,1,Systems I,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,10:00AM-11:50AM,"M,W",4,ECS 358,"Stevenson, Daniel E.",22,20,0,20,,,,,
202470,4884,COMP 2362,1,Systems II,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,12:00PM-1:50PM,"M,W",4,ECS 401,"Stevenson, Daniel E.",30,33,0,33,,,,,
202470,4885,COMP 2362,2,Systems II,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,2:00PM-3:50PM,"M,W",4,ECS 401,"Stevenson, Daniel E.",30,23,0,23,,,,,
202470,4886,COMP 2362,3,Systems II,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,4:00PM-5:50PM,"M,W",4,ECS 300,"Stevenson, Daniel E.",30,15,0,15,,,,,
202470,3842,COMP 2381,1,Object-Oriented Software Dev.,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,12:00PM-1:50PM,"M,W",4,ECS 301,"Anjum, Iffat",40,38,0,38,,,,,
202470,4093,COMP 2381,3,Object-Oriented Software Dev.,Lecture/Lab,09-SEP-2024 to 17-NOV-2024,10:00AM-11:50AM,"T,R",4,STURM 251,"Anjum, Iffat",38,30,0,30,,,,,
